Systematic Name,Molecular Weight
YKL162C-A,5838.7
Q0092,5853.4
YHR052C-B,5871.75
YHR054C-B,5871.75
YNL097W-A,5904.3
Q0297,5921.2
YIL105W-A,5934.9
Q0143,5940.0
YNL338W,5950.7
YOL166W-A,5953.0
YOL052C-A,5955.9
YDR034W-B,5968.2
YPR133W-A,5986.0
YHR086W-A,5991.2
YKL096C-B,5995.4
YPL135C-A,5997.0
YJL127C-B,6021.1
YNL067W-A,6022.1
YLR154C-G,6050.2
YGR146C-A,6051.3
YML054C-A,6104.2
YOR293C-A,6129.4
YDR194W-A,6131.3
YOR072W-B,6135.2
YDR276C,6136.5
YLR157W-E,6145.1
YBR072C-A,6150.3
YOR376W-A,6215.3
YBR121C-A,6239.7
YML100W-A,6251.4
YBR196C-A,6258.5
YLR154W-B,6261.7
YER078W-A,6265.7
Q0017,6276.5
YCR095W-A,6307.9
YIL046W-A,6310.0
YOR394C-A,6311.4
YDR524C-B,6327.2
YJL205C,6340.6
YJL189W,6358.9
YDL159C-B,6405.6
YOR045W,6407.6
YLL066W-B,6411.3
YBR200W-A,6466.0
YER175W-A,6473.9
YDR034C-A,6504.4
YLR342W-A,6560.9
YHR050W-A,6582.9
YGL014C-A,6612.1
YHR072W-A,6642.9
YHR053C,6649.6
YHR055C,6649.6
YGR227C-A,6659.84
YLR388W,6669.9
YFR032C-A,6685.0
YML081C-A,6691.9
YEL032C-A,6697.2
YOR381W-A,6704.6
YDL061C,6735.9
YPL271W,6746.7
YHR032W-A,6747.1
YLL006W-A,6756.1
YHR073W-A,6780.1
YHR180W-A,6819.2
YDR464C-A,6864.0
Q0142,6870.3
YNL070W,6871.0
YBL039W-B,6878.2
YLR154W-A,6917.9
YPR074W-A,6923.2
YLR402W,6939.4
YMR256C,6941.5
YLR262C-A,6953.5
YDL067C,6967.3
YGL041C-B,6993.4
YOL164W-A,7005.6
YMR307C-A,7018.2
YOL013W-A,7026.2
YOL097W-A,7032.2
YGL188C,7040.4
YPR036W-A,7054.0
YLR146W-A,7073.8
YLR287C-A,7134.7
YOR182C,7134.7
YLR285C-A,7165.5
YNL277W-A,7220.1
YPR002C-A,7223.4
YMR105W-A,7232.8
YCR108C,7268.5
YPR170W-A,7268.8
YLR162W-A,7278.4
YMR230W-A,7281.0
YMR175W-A,7308.7
YBR056W-A,7326.8
YFR010W-A,7345.7
YBR162W-A,7374.9
YBR182C-A,7382.8
YAL016C-B,7405.6
YER023C-A,7440.6
YOR186C-A,7457.4
YDR119W-A,7458.9
YGR183C,7475.4
YEL020C-B,7493.0
YCR047W-A,7512.0
YML058W-A,7514.7
YEL050W-A,7515.2
YHR054W-A,7522.0
YHR052W-A,7522.0
YOL077W-A,7535.9
YPL189C-A,7536.9
YGL041C,7550.0
YLR264W,7570.0
YFL041W-A,7585.0
YOR167C,7597.0
YIL134C-A,7600.0
YHR212W-A,7611.7
YBR230W-A,7621.9
YDR246W-A,7670.9
YDR182W-A,7679.2
YPL038W-A,7685.0
YIR021W-A,7685.1
YNL146C-A,7690.4
YMR174C,7707.6
YOR032W-A,7711.3
YIL002W-A,7721.7
YHR143W-A,7723.1
YBR201C-A,7725.1
YCR102W-A,7732.0
YJL133C-A,7749.0
YBR126W-A,7758.1
YPR108W-A,7760.4
Q0130,7760.5
YLR154W-E,7796.4
YCL048W-A,7797.0
YGR240C-A,7827.1
YOR316C-A,7844.3
YPR010C-A,7904.3
YLR437C-A,7916.5
YOR108C-A,7941.4
YJL026C-A,7943.4
YOR231C-A,7949.8
YML129C,7959.1
YDL085C-A,7961.5
YMR122W-A,7985.0
YER039C-A,7987.5
YML009C,7987.8
YLR412C-A,8016.8
YGR121W-A,8034.5
YPL096C-A,8037.4
YOL085W-A,8044.3
YLL009C,8051.2
YPR169W-A,8063.3
YKL138C-A,8089.4
YCR075W-A,8091.0
YER091C-A,8147.2
YDR320C-A,8155.4
YIL156W-B,8168.7
YLR157W-D,8198.5
YNL024C-A,8198.8
YMR194C-B,8203.7
YNL259C,8222.7
YDR079C-A,8228.6
YGR226C,8248.6
YNL162W-A,8266.7
YNR032C-A,8270.6
YGL123C-A,8271.2
YOR210W,8278.8
YGR270C-A,8280.1
YNR001W-A,8285.6
YKL183C-A,8364.0
YGR035W-A,8368.1
YCL005W-A,8383.2
YHR007C-A,8393.2
YBR298C-A,8411.4
YEL059C-A,8414.6
YGR105W,8433.1
YJL156W-A,8435.4
YGR291C,8457.5
YFL017W-A,8479.9
YIL102C-A,8505.4
YOR073W-A,8518.5
YKL023C-A,8529.1
YMR194C-A,8532.7
YKL065W-A,8541.3
YHR199C-A,8545.0
YBR109W-A,8562.3
YDR210W,8567.7
YNL015W,8587.9
YHR001W-A,8594.0
YOR329W-A,8606.6
YOR008C-A,8607.4
YOR304C-A,8610.6
YOR011W-A,8644.2
YJL222W-A,8655.6
YJL020W-A,8685.9
YDR139C,8691.2
YGL258W-A,8692.2
YMR001C-A,8713.0
YER087C-B,8719.3
YAL067W-A,8768.8
YER158W-A,8785.9
YMR141W-A,8828.9
YLR325C,8840.7
YKL068W-A,8857.0
YHR021C,8871.5
YMR175W,8875.1
YKL156W,8885.6
YDR015C,8891.4
YAR029W,8903.9
YKL096W-A,8906.0
YLR395C,8917.9
YHR213W-A,8928.8
YDR086C,8948.8
YJR107C-A,8954.98
YMR324C,8978.6
YIR020W-A,8984.8
YCR081C-A,8985.9
YGL260W,9032.9
YOR192C-C,9037.5
YDL160C-A,9044.6
YDR461C-A,9101.1
YPL222C-A,9138.7
YBL068W-A,9173.4
YDR525W-A,9177.7
YCR020W-B,9181.7
YKL165C-A,9193.9
YPR145C-A,9261.9
YHR131W-A,9265.1
YBL071W-A,9339.4
YDL185C-A,9344.1
YDR379C-A,9359.0
YPR170W-B,9362.1
YDR378C,9396.7
YBR085C-A,9401.6
YER074W-A,9438.4
YCR018C-A,9462.1
YGL032C,9463.9
YBL008W-A,9495.7
YGL226C-A,9520.2
YMR286W,9540.4
YKL104W-A,9565.99
YCL001W-B,9568.8
YOR072W-A,9579.4
YBR058C-A,9581.3
YHR165W-A,9604.7
YER019C-A,9613.3
YGR008C,9615.7
YOR020W-A,9618.8
YDL007C-A,9620.9
YGL194C-A,9626.6
YLR307C-A,9637.3
YPR182W,9659.1
YAL068W-A,9659.3
YNL337W,9706.3
YKL053C-A,9710.1
YLR222C-A,9721.1
YCR020C-A,9722.7
YDL022C-A,9725.5
YER180C-A,9731.0
YNR077C,9744.3
YKR057W,9745.0
YJL136C,9759.0
YLR363W-A,9761.1
YJR135W-A,9762.1
YLR038C,9784.0
YOR034C-A,9788.7
YLR327C,9839.0
YLR185W,9872.7
YDL181W,9876.4
YJL062W-A,9885.7
YDR500C,9890.7
YOR161W-B,9900.0
YPR012W,9908.8
YNL042W-B,9937.7
YFR032C-B,9957.5
YLR099W-A,9976.2
YKR095W-A,9990.6
YLR438C-A,10020.3
YGR161W-C,10022.2
YNL138W-A,10033.6
YGR037C,10057.4
YFR009W-A,10058.0
YDL130W-A,10069.7
YKR075W-A,10071.7
YJL197C-A,10088.7
YPR016W-A,10102.0
YJR094W-A,10108.2
YPR043W,10108.2
YPL119C-A,10110.9
YDR406W-A,10125.2
YPL250W-A,10152.0
YNL300W,10170.5
YEL020W-A,10203.8
YDR374W-A,10238.6
YNR037C,10284.2
YHR005C-A,10303.8
YIL058W,10335.5
YPR160C-A,10362.5
YDR363W-A,10372.1
YOR159C,10373.2
YLR379W-A,10380.88
YCL057C-A,10414.1
YER146W,10415.0
YDR424C,10442.0
YOR277C,10480.3
YDR250C,10501.1
YIL021C-A,10502.4
YGR169C-A,10505.2
YDR016C,10506.7
YGR236C,10546.4
YOL086W-A,10547.1
YCR097W-A,10555.0
YDR183C-A,10583.6
YCR024C-B,10616.0
YDR355C,10626.7
YBR076C-A,10631.8
YDL130W,10650.6
YNL211C,10659.5
YLR444C,10675.7
YDR455C,10690.1
YDL045W-A,10701.8
YPL183W-A,10716.3
YOL039W,10728.7
YOR146W,10736.8
YDL163W,10745.4
YNR034W-A,10783.5
YPR052C,10810.5
YJR010C-A,10822.0
YHR079C-A,10827.5
YBR233W-A,10844.3
YDR070C,10850.5
YDR322C-A,10874.6
YJR005C-A,10880.6
YDL081C,10889.9
YAR069C,10913.0
YHR214C-D,10913.0
YOL159C-A,10928.5
YKL006C-A,10964.7
YJL166W,10980.7
YAL064W,11010.0
YIL008W,11016.5
YDR382W,11035.1
YBR190W,11036.8
YLR361C-A,11051.4
YBR111W-A,11077.6
YBL096C,11091.2
YLL018C-A,11101.7
YOR248W,11109.4
YOL013W-B,11122.2
YAR064W,11142.0
YMR194W,11144.5
YAR053W,11146.4
YGR063C,11153.9
YPL249C-A,11155.6
YBL029C-A,11164.0
YBL026W,11164.0
YDR220C,11179.2
YHR213W-B,11187.0
YDL096C,11200.0
YDR112W,11200.5
YGR209C,11201.0
YMR316C-B,11201.1
YAL016C-A,11214.9
YLR147C,11229.3
YLR043C,11232.1
YEL030C-A,11242.6
YDR241W,11244.7
YBL100C,11251.4
YJR085C,11254.3
YOL050C,11268.6
YMR030W-A,11272.7
YER048W-A,11276.3
YJL015C,11281.6
YPL047W,11284.8
YGR181W,11288.0
YML101C-A,11308.2
YNL043C,11309.0
YPL046C,11316.8
YAL063C-A,11317.6
YDR377W,11322.3
YAL069W,11334.2
YPL056C,11338.7
YEL059W,11342.4
YFR034W-A,11351.2
YLR346C,11352.2
YDR543C,11355.3
YPL251W,11355.4
YGL204C,11359.9
YOR020C,11374.4
YDL016C,11383.4
YBR009C,11386.6
YNL030W,11386.6
YDL026W,11392.6
YGL239C,11412.5
YPL278C,11414.8
YAL031W-A,11416.6
YER188C-A,11417.4
YPL142C,11417.6
YGL030W,11423.5
YDL023C,11428.3
YKL102C,11429.6
YNL296W,11443.5
YBR174C,11456.4
YNL086W,11459.2
YMR225C,11481.6
YBR032W,11483.3
YIL102C,11484.2
YBR089C-A,11485.2
YDR269C,11504.6
YGL074C,11506.1
YBL001C,11516.4
YER137W-A,11525.6
YDL032W,11526.0
YJL022W,11535.5
YDR340W,11545.8
YBL071C,11546.7
YGR242W,11550.6
YBL070C,11551.0
YHR049C-A,11551.1
YOR170W,11579.7
YPR126C,11585.0
YDR510W,11591.1
YLR236C,11596.4
YIL086C,11596.5
YIR023C-A,11603.6
YDR203W,11604.7
YHR214C-E,11606.0
YJL188C,11609.5
YAR070C,11611.0
YDL011C,11613.8
YNL057W,11616.2
YOR318C,11620.7
YMR321C,11621.4
YAL045C,11646.9
YGL149W,11648.0
YIL014C-A,11649.9
YJL144W,11658.8
YPL102C,11659.0
YBL108W,11666.1
YOL035C,11676.8
YFL015W-A,11676.9
YER107W-A,11678.0
YIR020C,11680.9
YFL014W,11688.8
YGR022C,11703.2
YMR326C,11706.1
YCR050C,11725.2
YGR025W,11725.9
YFL010W-A,11736.8
YLL020C,11755.1
YKL118W,11761.8
YOR068C,11762.6
YPR203W,11771.0
YNL198C,11785.0
YFL065C,11791.1
YOL150C,11792.1
YPR096C,11814.8
YKL018C-A,11818.9
YMR254C,11819.3
YML058W,11829.4
YMR320W,11829.6
YFR052C-A,11830.8
YBR206W,11842.7
YPL261C,11848.4
YJL007C,11855.6
YML116W-A,11865.1
YDR281C,11879.9
YJL150W,11879.9
YMR031W-A,11881.8
YOR024W,11882.4
YNL146W,11891.2
YHR125W,11891.3
YPR195C,11897.8
YGR018C,11898.6
YHR139C-A,11912.3
YDR278C,11920.1
YGR228W,11924.9
YER088C-A,11936.0
YIL142C-A,11942.2
YEL073C,11952.5
YBR268W,11955.9
YPR092W,11961.4
YHR028W-A,11962.1
YDL041W,11965.1
YGR206W,11969.8
YDR114C,11970.5
YKR073C,11976.3
YBL112C,11980.5
YHR218W-A,11980.5
YMR158W-B,11983.3
YDL158C,11990.5
YHR087W,12006.5
YGL193C,12007.3
YLR465C,12017.8
YLR333C,12025.5
YML084W,12033.3
YIL054W,12044.4
YCL046W,12052.1
YDR115W,12053.6
YGR027C,12055.5
YLR230W,12056.0
YGL052W,12069.3
YPR087W,12070.0
YBL094C,12085.4
YBL073W,12090.6
YAR019W-A,12095.1
YGL217C,12098.3
YGR051C,12106.6
YMR141C,12116.5
YAL066W,12123.1
YGL042C,12128.5
YBR209W,12140.4
YOR072W,12148.4
YAL047W-A,12153.4
YNL135C,12157.0
YOR282W,12163.5
YLR322W,12166.1
YPL143W,12170.4
YDL068W,12171.8
YDL012C,12173.4
YDR467C,12183.9
YOR234C,12184.4
YOR343C,12187.5
YPR014C,12189.5
YJR048W,12190.2
YLR296W,12196.7
YHR063W-A,12208.4
YEL014C,12212.6
YGL024W,12216.1
YGL132W,12231.3
YGL182C,12232.5
YPR146C,12232.6
YLR232W,12233.0
YOR300W,12234.8
YNL162W,12239.0
YHR141C,12239.0
YHR071C-A,12245.9
YPL098C,12257.4
YLR041W,12267.4
YPR094W,12270.8
YHL046W-A,12273.1
YBR091C,12283.1
YJR020W,12283.6
YER058W,12286.3
YGR269W,12287.7
YKL177W,12295.0
YDR327W,12308.4
YNL244C,12313.3
YDR029W,12315.7
YBR144C,12321.4
YDR048C,12323.5
YML108W,12327.1
YGR039W,12328.6
YOR105W,12342.2
YKR047W,12347.2
YLR415C,12355.8
YLR366W,12357.5
YOR050C,12363.6
YHL006W-A,12364.0
YOR265W,12374.0
YCL035C,12374.3
YJR022W,12385.5
YJL135W,12386.9
YER006C-A,12388.6
YJL032W,12388.8
YBR262C,12389.0
YFL032W,12389.3
YOR121C,12390.3
YOR235W,12393.8
YOL118C,12395.9
YJR034W,12396.7
YDR431W,12400.8
YLL014W,12401.5
YPR044C,12401.9
YLR252W,12406.4
YGR215W,12408.9
YEL053W-A,12414.6
YKR032W,12415.8
YGR011W,12415.9
YBL028C,12416.6
YMR316C-A,12416.8
YOL131W,12419.1
YJL119C,12429.4
YGL109W,12441.5
YMR244C-A,12450.3
YBL048W,12451.1
YNL028W,12458.5
YKL044W,12459.1
YER181C,12460.3
YFR035C,12463.0
YPL080C,12472.6
YLR154C,12476.8
Q0032,12477.2
YJR112W-A,12484.8
YNL184C,12485.9
YJL182C,12489.9
YDR045C,12509.3
YCR060W,12510.3
YML031C-A,12515.9
YLR390W,12518.6
YGL168W,12518.9
YLR364W,12520.5
YJL199C,12522.3
YCR001W,12523.1
YOR314W,12524.7
YEL039C,12541.6
YAL044W-A,12543.7
YNL017C,12547.0
YOR135C,12548.2
YDR525W,12549.0
YLR140W,12576.7
YOL109W,12587.1
YJR079W,12589.5
YER079C-A,12603.4
YJR086W,12632.7
YML099W-A,12637.2
YLR217W,12644.8
YJL009W,12663.2
YLR111W,12664.9
YLR053C,12687.2
YDR521W,12689.0
YOR225W,12698.4
YDR010C,12700.0
YDR102C,12704.2
YLR365W,12705.3
YHR039C-A,12715.8
YCR045W-A,12719.4
YER046W-A,12721.6
YDR381C-A,12722.7
YDL009C,12733.3
YOR293W,12741.6
YMR230W,12741.6
YER097W,12742.5
YBR232C,12742.7
YHR138C,12746.6
YLR123C,12748.3
YCL058W-A,12752.2
YOL026C,12753.6
YJL067W,12755.1
YJL179W,12784.9
YOL085C,12789.8
YLR204W,12794.8
YJL120W,12809.1
YGR294W,12816.6
YEL049W,12816.6
YDL187C,12818.4
YDR542W,12831.8
YIR009W,12838.2
YFL020C,12840.5
YDR008C,12842.0
YBR301W,12844.7
YGL261C,12846.7
YAL068C,12846.7
YBR027C,12848.6
YLR275W,12856.2
YMR290W-A,12861.2
YJL223C,12862.7
YIL176C,12862.7
YDR094W,12870.0
YOR345C,12872.2
YOL161C,12874.8
YHL046C,12876.8
YHR173C,12877.9
YHR212C,12879.4
YAR060C,12879.4
YBL109W,12882.9
YLR461W,12888.8
YMR153C-A,12889.1
YCR041W,12889.7
YJR082C,12889.8
YDR133C,12891.9
YML101C,12893.0
YNR076W,12902.9
YLL064C,12902.9
YAR047C,12904.7
YEL068C,12907.6
YDR230W,12909.0
YER067C-A,12910.0
YDL196W,12913.2
YJL028W,12913.7
YPL136W,12914.7
YAL065C,12916.3
YGR035C,12916.7
YDL034W,12924.3
YOR029W,12928.4
YPR020W,12932.3
YIL165C,12932.8
YER121W,12935.1
YOL166C,12939.3
YLR261C,12940.9
YKL037W,12944.6
YJL202C,12945.3
YKL111C,12946.4
YBL059C-A,12949.9
YPR039W,12951.2
YOR327C,12959.2
YPR170C,12961.9
YDL075W,12962.3
YLR280C,12973.3
YLR406C,12976.4
YAL056C-A,12978.6
YEL003W,12995.1
YNL147W,13010.2
YKL137W,13013.3
YIL059C,13023.9
YJR038C,13025.5
YLR202C,13026.5
YIR040C,13027.8
YKL224C,13044.9
YDR290W,13049.3
YLR110C,13052.7
YLR162W,13064.4
YEL074W,13072.3
YDR417C,13086.3
YOR189W,13086.3
YLL025W,13087.9
YOR366W,13104.7
YKL223W,13126.9
YGR151C,13127.0
YLR294C,13129.6
YLR428C,13140.5
YLR161W,13142.2
YLR156W,13142.2
YLR159W,13142.2
YIL100C-A,13150.8
YJR087W,13152.6
YIR041W,13157.1
YLR124W,13164.6
YMR325W,13171.2
YLR037C,13174.1
YJR146W,13179.2
YMR107W,13179.7
YCR104W,13185.2
YDR154C,13185.6
YCR022C,13188.6
YDR079W,13192.7
YBL053W,13196.0
YAL030W,13202.5
YPR177C,13206.6
YGR164W,13206.7
YPL182C,13208.6
YBR124W,13222.6
YOR199W,13232.9
YOR082C,13233.3
YIL012W,13241.6
YOL037C,13249.4
YHR069C-A,13251.5
YAL064W-B,13256.3
YDL242W,13258.6
YIR013C,13260.9
YGL089C,13265.1
YGR139W,13265.2
YGR219W,13268.5
YNL122C,13269.0
YAL034C-B,13270.1
YER076W-A,13271.0
YMR103C,13274.0
YLR200W,13276.0
YNL111C,13283.9
YJR018W,13294.0
YOR379C,13297.7
YAR030C,13300.1
YLR282C,13303.4
YOR102W,13306.3
YHL045W,13318.9
YKL225W,13324.8
YLL030C,13362.3
YPR099C,13362.6
YER133W-A,13364.7
YAL046C,13364.9
YCL042W,13372.5
YPL035C,13379.9
YGR190C,13390.1
YJR162C,13390.8
YDR199W,13392.0
YGL072C,13393.0
YHR130C,13395.8
YMR086C-A,13411.3
YML012C-A,13417.3
YJR120W,13420.8
YDR286C,13423.7
YER165C-A,13429.8
YOL106W,13436.7
YIL029W-A,13442.7
YBR051W,13442.9
YPR038W,13454.2
YKL058W,13454.2
YGR020C,13454.3
YML009C-A,13459.4
YER131W,13470.2
YMR304C-A,13477.3
YDL241W,13494.3
YIL100W,13494.6
YLL065W,13495.0
YJR128W,13504.1
YCR085W,13504.2
YOL160W,13511.3
YKL061W,13514.3
YGR050C,13517.8
YGL189C,13527.3
YEL010W,13527.9
YCL023C,13545.6
YPR166C,13555.3
YIL030W-A,13558.1
YNL303W,13566.0
YDL157C,13568.8
YEL026W,13570.1
YGL034C,13575.7
YLR184W,13584.5
YLR255C,13586.4
YJL184W,13598.2
YOR139C,13600.1
YDL071C,13604.1
YGR069W,13606.0
YOL005C,13612.6
YDR271C,13615.0
YGR182C,13619.2
YBL078C,13630.9
YKL084W,13637.9
YGR045C,13652.2
YPL013C,13652.3
YJR063W,13662.8
YJL152W,13663.2
YER056C-A,13664.5
YIL052C,13666.5
YOR122C,13674.6
YDL152W,13678.7
YIR030W-A,13687.5
YGR176W,13691.2
YLR061W,13692.5
YGL177W,13694.4
YFR049W,13695.2
YPL238C,13702.6
YAL042C-A,13710.0
YLR169W,13718.1
YNR025C,13727.3
YLR269C,13727.6
YDL162C,13735.9
YDR193W,13743.7
YBR255C-A,13747.0
YHR145C,13749.7
YFL019C,13752.9
YGL007W,13798.5
YIL032C,13799.4
YOR376W,13808.5
YLR311C,13808.6
YJL173C,13810.9
YFL034C-A,13825.7
YBL065W,13836.6
YPL205C,13838.3
YJL064W,13854.1
YMR294W-A,13854.1
YBR253W,13854.9
YKL086W,13858.3
YBL044W,13863.3
YDR031W,13864.3
YJL215C,13867.2
YLR062C,13871.6
YPR076W,13873.5
YAL064C-A,13878.6
YOR015W,13880.7
YCR096C,13891.2
YER057C,13902.1
YHL015W,13912.2
YOL014W,13916.0
YIL115W-A,13917.0
YDL191W,13932.9
YDL136W,13932.9
YOL133W,13936.0
YDR493W,13936.3
YKL192C,13937.8
YLR297W,13938.0
YDR274C,13939.5
YJR157W,13944.5
YDR357C,13951.9
YMR123W,13961.1
YJR114W,13966.0
YER172C-A,13975.7
YJL169W,13977.3
YJR071W,13987.6
YEL075C,13995.1
YBL003C,14002.5
YDR225W,14002.5
YFR056C,14005.8
YIL163C,14006.7
YER189W,14008.1
YEL008W,14026.9
YHL018W,14028.3
YPR059C,14033.8
YMR075C-A,14035.5
YFR036W,14067.0
YNL285W,14070.1
YGR073C,14074.3
YJL003W,14080.2
YHR193C-A,14088.9
YLR302C,14094.5
YDL050C,14095.4
YIL025C,14096.6
YER119C-A,14100.2
YGL220W,14104.4
YMR082C,14105.8
YLR295C,14117.9
YNL276C,14118.6
YDR509W,14123.2
YIL047C-A,14130.5
Q0144,14139.4
YDL118W,14139.9
YMR122C,14160.1
YJL086C,14162.8
YLR379W,14163.6
YKL169C,14171.4
YLR374C,14171.7
YML089C,14173.7
YIL020C-A,14187.7
YOR203W,14191.7
YJR108W,14193.8
YGL088W,14219.7
YPR077C,14222.5
YLR198C,14224.0
YBR194W,14245.3
YBL002W,14251.6
YGR034W,14252.0
YLR344W,14252.0
YDR224C,14267.6
YGL070C,14289.4
YKL136W,14290.6
YER092W,14299.0
YOL012C,14300.0
YMR057C,14308.0
YER084W,14322.9
YMR195W,14328.7
YLR334C,14330.4
YBR090C,14336.1
YKR012C,14336.9
YMR306C-A,14339.4
YLL037W,14350.9
YER038W-A,14353.7
YLR154W-C,14354.4
YCL065W,14358.6
YML057C-A,14368.9
YLR122C,14371.0
YER072W,14381.3
YOL134C,14390.9
YJR037W,14398.2
YGR064W,14401.9
YHR132W-A,14402.5
YBL062W,14408.1
YBR292C,14429.2
YCR083W,14437.3
YIL141W,14438.6
YGL029W,14439.3
YPL192C,14444.8
YER009W,14446.2
YBR178W,14451.3
YLR458W,14454.5
YDR442W,14463.2
YGR137W,14472.4
YBR013C,14481.7
YML122C,14484.0
YDR519W,14485.0
YER117W,14485.3
YBL087C,14485.3
YER071C,14492.4
YGL226W,14492.9
YIL068W-A,14509.3
YLR331C,14509.8
YMR119W-A,14516.7
YMR052C-A,14517.6
YFL012W-A,14518.8
YMR172C-A,14524.6
YML047W-A,14533.2
YML034C-A,14546.7
YCR031C,14549.0
YLR408C,14550.1
YMR007W,14551.8
YDR529C,14561.9
YHR162W,14565.1
YIL148W,14568.3
YKR094C,14568.3
YDR156W,14581.3
YHR093W,14588.1
YBR230C,14614.9
YDR426C,14616.6
YBR016W,14617.0
YCL021W-A,14618.2
YJL190C,14635.3
YLR367W,14635.3
YNL171C,14647.4
YBR277C,14654.1
YJL191W,14661.1
YLR235C,14672.8
YOR200W,14676.5
YNL170W,14694.4
YLR171W,14696.6
YOR103C,14704.7
YLR416C,14719.9
YKL053W,14721.4
YNR005C,14727.5
YGL127C,14734.9
YDR053W,14752.7
YLR279W,14760.7
YCR043C,14774.0
YIL156W-A,14779.5
YOR364W,14787.8
YBR099C,14791.6
YBL092W,14794.7
YBR219C,14795.6
YOR183W,14807.7
YCR097W,14811.3
YLR012C,14822.3
YJL077C,14839.9
YNL150W,14850.4
YLL047W,14850.6
YJL142C,14855.3
YNL324W,14867.1
YPR200C,14885.2
YMR059W,14889.2
YER147C-A,14895.8
YGL121C,14911.9
YPL062W,14912.5
YKL036C,14916.7
YKL170W,14919.0
YLR104W,14925.2
YPR130C,14944.0
YIL028W,14958.0
YGL015C,14960.1
YPL250C,14971.2
YNL013C,14984.1
YER150W,14988.9
YGL080W,15002.5
YML094C-A,15013.6
YGL191W,15022.3
YKL003C,15028.9
YML090W,15039.0
YNL114C,15049.1
YNL149C,15051.2
YKR083C,15053.6
YNR046W,15058.4
YOL079W,15097.3
YLR434C,15108.8
YCR082W,15109.1
YLR385C,15118.7
YPL114W,15122.0
YPR050C,15160.0
YLR437C,15165.2
YMR112C,15166.4
YNL153C,15169.2
YHR191C,15169.9
YKL076C,15171.7
YHL001W,15172.4
YOR041C,15180.3
YLR125W,15180.6
YKL006W,15186.4
YJL151C,15190.3
YDR215C,15190.8
YOR268C,15201.9
YDR095C,15202.9
YKL123W,15204.4
YIR036W-A,15239.9
YOR263C,15240.7
YHL005C,15282.7
YJR023C,15292.0
