Systematic Name,Standard Name,complex,term_link,gene_link
YPL237W,SUI3,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YPL237W/go' target='_blank'>YPL237W</a>
YPL237W,SUI3,multi-eIF complex,<a href='https://www.yeastgenome.org/go/GO:0043614' target='_blank'>multi-eIF complex</a>,<a href='https://www.yeastgenome.org/locus/YPL237W/go' target='_blank'>YPL237W</a>
YGR059W,SPR3,septin complex,<a href='https://www.yeastgenome.org/go/GO:0031105' target='_blank'>septin complex</a>,<a href='https://www.yeastgenome.org/locus/YGR059W/go' target='_blank'>YGR059W</a>
YBR238C,,P-body,<a href='https://www.yeastgenome.org/go/GO:0000932' target='_blank'>P-body</a>,<a href='https://www.yeastgenome.org/locus/YBR238C/go' target='_blank'>YBR238C</a>
YBR238C,,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YBR238C/go' target='_blank'>YBR238C</a>
YLR254C,NDL1,cytoplasmic microtubule,<a href='https://www.yeastgenome.org/go/GO:0005881' target='_blank'>cytoplasmic microtubule</a>,<a href='https://www.yeastgenome.org/locus/YLR254C/go' target='_blank'>YLR254C</a>
YLR254C,NDL1,microtubule,<a href='https://www.yeastgenome.org/go/GO:0005874' target='_blank'>microtubule</a>,<a href='https://www.yeastgenome.org/locus/YLR254C/go' target='_blank'>YLR254C</a>
YDR411C,DFM1,Doa10p ubiquitin ligase complex,<a href='https://www.yeastgenome.org/go/GO:0000837' target='_blank'>Doa10p ubiquitin ligase complex</a>,<a href='https://www.yeastgenome.org/locus/YDR411C/go' target='_blank'>YDR411C</a>
YDR411C,DFM1,Hrd1p ubiquitin ligase ERAD-L complex,<a href='https://www.yeastgenome.org/go/GO:0000839' target='_blank'>Hrd1p ubiquitin ligase ERAD-L complex</a>,<a href='https://www.yeastgenome.org/locus/YDR411C/go' target='_blank'>YDR411C</a>
YDR411C,DFM1,ubiquitin ligase complex,<a href='https://www.yeastgenome.org/go/GO:0000151' target='_blank'>ubiquitin ligase complex</a>,<a href='https://www.yeastgenome.org/locus/YDR411C/go' target='_blank'>YDR411C</a>
YJL136C,RPS21B,cytosolic ribosome,<a href='https://www.yeastgenome.org/go/GO:0022626' target='_blank'>cytosolic ribosome</a>,<a href='https://www.yeastgenome.org/locus/YJL136C/go' target='_blank'>YJL136C</a>
YJL136C,RPS21B,cytosolic small ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0022627' target='_blank'>cytosolic small ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/YJL136C/go' target='_blank'>YJL136C</a>
YJL136C,RPS21B,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YJL136C/go' target='_blank'>YJL136C</a>
YJL136C,RPS21B,ribosome,<a href='https://www.yeastgenome.org/go/GO:0005840' target='_blank'>ribosome</a>,<a href='https://www.yeastgenome.org/locus/YJL136C/go' target='_blank'>YJL136C</a>
YJL136C,RPS21B,small ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0015935' target='_blank'>small ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/YJL136C/go' target='_blank'>YJL136C</a>
YNL002C,RLP7,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YNL002C/go' target='_blank'>YNL002C</a>
YNL002C,RLP7,"preribosome, large subunit precursor","<a href='https://www.yeastgenome.org/go/GO:0030687' target='_blank'>preribosome, large subunit precursor</a>",<a href='https://www.yeastgenome.org/locus/YNL002C/go' target='_blank'>YNL002C</a>
YNL002C,RLP7,preribosome,<a href='https://www.yeastgenome.org/go/GO:0030684' target='_blank'>preribosome</a>,<a href='https://www.yeastgenome.org/locus/YNL002C/go' target='_blank'>YNL002C</a>
YER074W,RPS24A,cytosolic ribosome,<a href='https://www.yeastgenome.org/go/GO:0022626' target='_blank'>cytosolic ribosome</a>,<a href='https://www.yeastgenome.org/locus/YER074W/go' target='_blank'>YER074W</a>
YER074W,RPS24A,cytosolic small ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0022627' target='_blank'>cytosolic small ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/YER074W/go' target='_blank'>YER074W</a>
YER074W,RPS24A,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YER074W/go' target='_blank'>YER074W</a>
YER074W,RPS24A,ribosome,<a href='https://www.yeastgenome.org/go/GO:0005840' target='_blank'>ribosome</a>,<a href='https://www.yeastgenome.org/locus/YER074W/go' target='_blank'>YER074W</a>
YER074W,RPS24A,small ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0015935' target='_blank'>small ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/YER074W/go' target='_blank'>YER074W</a>
YJL074C,SMC3,nuclear cohesin complex,<a href='https://www.yeastgenome.org/go/GO:0000798' target='_blank'>nuclear cohesin complex</a>,<a href='https://www.yeastgenome.org/locus/YJL074C/go' target='_blank'>YJL074C</a>
YJL074C,SMC3,nuclear mitotic cohesin complex,<a href='https://www.yeastgenome.org/go/GO:0034990' target='_blank'>nuclear mitotic cohesin complex</a>,<a href='https://www.yeastgenome.org/locus/YJL074C/go' target='_blank'>YJL074C</a>
YPR043W,RPL43A,cytosolic large ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0022625' target='_blank'>cytosolic large ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/YPR043W/go' target='_blank'>YPR043W</a>
YPR043W,RPL43A,cytosolic ribosome,<a href='https://www.yeastgenome.org/go/GO:0022626' target='_blank'>cytosolic ribosome</a>,<a href='https://www.yeastgenome.org/locus/YPR043W/go' target='_blank'>YPR043W</a>
YPR043W,RPL43A,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YPR043W/go' target='_blank'>YPR043W</a>
YPR043W,RPL43A,large ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0015934' target='_blank'>large ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/YPR043W/go' target='_blank'>YPR043W</a>
YPR043W,RPL43A,ribosome,<a href='https://www.yeastgenome.org/go/GO:0005840' target='_blank'>ribosome</a>,<a href='https://www.yeastgenome.org/locus/YPR043W/go' target='_blank'>YPR043W</a>
YNL252C,MRPL17,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YNL252C/go' target='_blank'>YNL252C</a>
YNL252C,MRPL17,large ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0015934' target='_blank'>large ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/YNL252C/go' target='_blank'>YNL252C</a>
YNL252C,MRPL17,mitochondrial large ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0005762' target='_blank'>mitochondrial large ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/YNL252C/go' target='_blank'>YNL252C</a>
YNL252C,MRPL17,mitochondrial ribosome,<a href='https://www.yeastgenome.org/go/GO:0005761' target='_blank'>mitochondrial ribosome</a>,<a href='https://www.yeastgenome.org/locus/YNL252C/go' target='_blank'>YNL252C</a>
YNL252C,MRPL17,ribosome,<a href='https://www.yeastgenome.org/go/GO:0005840' target='_blank'>ribosome</a>,<a href='https://www.yeastgenome.org/locus/YNL252C/go' target='_blank'>YNL252C</a>
YDR119W-A,COX26,mitochondrial respiratory chain complex IV,<a href='https://www.yeastgenome.org/go/GO:0005751' target='_blank'>mitochondrial respiratory chain complex IV</a>,<a href='https://www.yeastgenome.org/locus/YDR119W-A/go' target='_blank'>YDR119W-A</a>
YDR119W-A,COX26,mitochondrial respiratory chain supercomplex,<a href='https://www.yeastgenome.org/go/GO:0097249' target='_blank'>mitochondrial respiratory chain supercomplex</a>,<a href='https://www.yeastgenome.org/locus/YDR119W-A/go' target='_blank'>YDR119W-A</a>
YDR175C,RSM24,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YDR175C/go' target='_blank'>YDR175C</a>
YDR175C,RSM24,mitochondrial ribosome,<a href='https://www.yeastgenome.org/go/GO:0005761' target='_blank'>mitochondrial ribosome</a>,<a href='https://www.yeastgenome.org/locus/YDR175C/go' target='_blank'>YDR175C</a>
YDR175C,RSM24,mitochondrial small ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0005763' target='_blank'>mitochondrial small ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/YDR175C/go' target='_blank'>YDR175C</a>
YDR175C,RSM24,ribosome,<a href='https://www.yeastgenome.org/go/GO:0005840' target='_blank'>ribosome</a>,<a href='https://www.yeastgenome.org/locus/YDR175C/go' target='_blank'>YDR175C</a>
YDR175C,RSM24,small ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0015935' target='_blank'>small ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/YDR175C/go' target='_blank'>YDR175C</a>
YLR423C,ATG17,ATG1/ULK1 kinase complex,<a href='https://www.yeastgenome.org/go/GO:1990316' target='_blank'>ATG1/ULK1 kinase complex</a>,<a href='https://www.yeastgenome.org/locus/YLR423C/go' target='_blank'>YLR423C</a>
YER125W,RSP5,ubiquitin ligase complex,<a href='https://www.yeastgenome.org/go/GO:0000151' target='_blank'>ubiquitin ligase complex</a>,<a href='https://www.yeastgenome.org/locus/YER125W/go' target='_blank'>YER125W</a>
YNL317W,PFS2,mRNA cleavage and polyadenylation specificity factor complex,<a href='https://www.yeastgenome.org/go/GO:0005847' target='_blank'>mRNA cleavage and polyadenylation specificity factor complex</a>,<a href='https://www.yeastgenome.org/locus/YNL317W/go' target='_blank'>YNL317W</a>
YNL317W,PFS2,mRNA cleavage factor complex,<a href='https://www.yeastgenome.org/go/GO:0005849' target='_blank'>mRNA cleavage factor complex</a>,<a href='https://www.yeastgenome.org/locus/YNL317W/go' target='_blank'>YNL317W</a>
YIL009C-A,EST3,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YIL009C-A/go' target='_blank'>YIL009C-A</a>
YIL009C-A,EST3,telomerase holoenzyme complex,<a href='https://www.yeastgenome.org/go/GO:0005697' target='_blank'>telomerase holoenzyme complex</a>,<a href='https://www.yeastgenome.org/locus/YIL009C-A/go' target='_blank'>YIL009C-A</a>
YOR117W,RPT5,proteasome complex,<a href='https://www.yeastgenome.org/go/GO:0000502' target='_blank'>proteasome complex</a>,<a href='https://www.yeastgenome.org/locus/YOR117W/go' target='_blank'>YOR117W</a>
YOR117W,RPT5,"proteasome regulatory particle, base subcomplex","<a href='https://www.yeastgenome.org/go/GO:0008540' target='_blank'>proteasome regulatory particle, base subcomplex</a>",<a href='https://www.yeastgenome.org/locus/YOR117W/go' target='_blank'>YOR117W</a>
YOR117W,RPT5,proteasome regulatory particle,<a href='https://www.yeastgenome.org/go/GO:0005838' target='_blank'>proteasome regulatory particle</a>,<a href='https://www.yeastgenome.org/locus/YOR117W/go' target='_blank'>YOR117W</a>
YOR327C,SNC2,SNARE complex,<a href='https://www.yeastgenome.org/go/GO:0031201' target='_blank'>SNARE complex</a>,<a href='https://www.yeastgenome.org/locus/YOR327C/go' target='_blank'>YOR327C</a>
YDR156W,RPA14,DNA-directed RNA polymerase I complex,<a href='https://www.yeastgenome.org/go/GO:0005736' target='_blank'>DNA-directed RNA polymerase I complex</a>,<a href='https://www.yeastgenome.org/locus/YDR156W/go' target='_blank'>YDR156W</a>
YAL021C,CCR4,CCR4-NOT complex,<a href='https://www.yeastgenome.org/go/GO:0030014' target='_blank'>CCR4-NOT complex</a>,<a href='https://www.yeastgenome.org/locus/YAL021C/go' target='_blank'>YAL021C</a>
YAL021C,CCR4,CCR4-NOT core complex,<a href='https://www.yeastgenome.org/go/GO:0030015' target='_blank'>CCR4-NOT core complex</a>,<a href='https://www.yeastgenome.org/locus/YAL021C/go' target='_blank'>YAL021C</a>
YAL021C,CCR4,Cdc73/Paf1 complex,<a href='https://www.yeastgenome.org/go/GO:0016593' target='_blank'>Cdc73/Paf1 complex</a>,<a href='https://www.yeastgenome.org/locus/YAL021C/go' target='_blank'>YAL021C</a>
YAL021C,CCR4,"DNA-directed RNA polymerase II, holoenzyme","<a href='https://www.yeastgenome.org/go/GO:0016591' target='_blank'>DNA-directed RNA polymerase II, holoenzyme</a>",<a href='https://www.yeastgenome.org/locus/YAL021C/go' target='_blank'>YAL021C</a>
YAL021C,CCR4,P-body,<a href='https://www.yeastgenome.org/go/GO:0000932' target='_blank'>P-body</a>,<a href='https://www.yeastgenome.org/locus/YAL021C/go' target='_blank'>YAL021C</a>
YAL021C,CCR4,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YAL021C/go' target='_blank'>YAL021C</a>
YAL021C,CCR4,transcription elongation factor complex,<a href='https://www.yeastgenome.org/go/GO:0008023' target='_blank'>transcription elongation factor complex</a>,<a href='https://www.yeastgenome.org/locus/YAL021C/go' target='_blank'>YAL021C</a>
YJL076W,NET1,RENT complex,<a href='https://www.yeastgenome.org/go/GO:0030869' target='_blank'>RENT complex</a>,<a href='https://www.yeastgenome.org/locus/YJL076W/go' target='_blank'>YJL076W</a>
YJL076W,NET1,chromatin silencing complex,<a href='https://www.yeastgenome.org/go/GO:0005677' target='_blank'>chromatin silencing complex</a>,<a href='https://www.yeastgenome.org/locus/YJL076W/go' target='_blank'>YJL076W</a>
YJL076W,NET1,transcriptional repressor complex,<a href='https://www.yeastgenome.org/go/GO:0017053' target='_blank'>transcriptional repressor complex</a>,<a href='https://www.yeastgenome.org/locus/YJL076W/go' target='_blank'>YJL076W</a>
YGR234W,YHB1,cytoplasmic stress granule,<a href='https://www.yeastgenome.org/go/GO:0010494' target='_blank'>cytoplasmic stress granule</a>,<a href='https://www.yeastgenome.org/locus/YGR234W/go' target='_blank'>YGR234W</a>
YGR234W,YHB1,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YGR234W/go' target='_blank'>YGR234W</a>
YBR268W,MRPL37,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YBR268W/go' target='_blank'>YBR268W</a>
YBR268W,MRPL37,large ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0015934' target='_blank'>large ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/YBR268W/go' target='_blank'>YBR268W</a>
YBR268W,MRPL37,mitochondrial large ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0005762' target='_blank'>mitochondrial large ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/YBR268W/go' target='_blank'>YBR268W</a>
YBR268W,MRPL37,mitochondrial ribosome,<a href='https://www.yeastgenome.org/go/GO:0005761' target='_blank'>mitochondrial ribosome</a>,<a href='https://www.yeastgenome.org/locus/YBR268W/go' target='_blank'>YBR268W</a>
YBR268W,MRPL37,ribosome,<a href='https://www.yeastgenome.org/go/GO:0005840' target='_blank'>ribosome</a>,<a href='https://www.yeastgenome.org/locus/YBR268W/go' target='_blank'>YBR268W</a>
YJL149W,DAS1,SCF ubiquitin ligase complex,<a href='https://www.yeastgenome.org/go/GO:0019005' target='_blank'>SCF ubiquitin ligase complex</a>,<a href='https://www.yeastgenome.org/locus/YJL149W/go' target='_blank'>YJL149W</a>
YJL149W,DAS1,ubiquitin ligase complex,<a href='https://www.yeastgenome.org/go/GO:0000151' target='_blank'>ubiquitin ligase complex</a>,<a href='https://www.yeastgenome.org/locus/YJL149W/go' target='_blank'>YJL149W</a>
YOR063W,RPL3,cytosolic large ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0022625' target='_blank'>cytosolic large ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/YOR063W/go' target='_blank'>YOR063W</a>
YOR063W,RPL3,cytosolic ribosome,<a href='https://www.yeastgenome.org/go/GO:0022626' target='_blank'>cytosolic ribosome</a>,<a href='https://www.yeastgenome.org/locus/YOR063W/go' target='_blank'>YOR063W</a>
YOR063W,RPL3,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YOR063W/go' target='_blank'>YOR063W</a>
YOR063W,RPL3,large ribosomal subunit,<a href='https://www.yeastgenome.org/go/GO:0015934' target='_blank'>large ribosomal subunit</a>,<a href='https://www.yeastgenome.org/locus/YOR063W/go' target='_blank'>YOR063W</a>
YOR063W,RPL3,"preribosome, large subunit precursor","<a href='https://www.yeastgenome.org/go/GO:0030687' target='_blank'>preribosome, large subunit precursor</a>",<a href='https://www.yeastgenome.org/locus/YOR063W/go' target='_blank'>YOR063W</a>
YOR063W,RPL3,preribosome,<a href='https://www.yeastgenome.org/go/GO:0030684' target='_blank'>preribosome</a>,<a href='https://www.yeastgenome.org/locus/YOR063W/go' target='_blank'>YOR063W</a>
YOR063W,RPL3,ribosome,<a href='https://www.yeastgenome.org/go/GO:0005840' target='_blank'>ribosome</a>,<a href='https://www.yeastgenome.org/locus/YOR063W/go' target='_blank'>YOR063W</a>
YPR144C,NOC4,90S preribosome,<a href='https://www.yeastgenome.org/go/GO:0030686' target='_blank'>90S preribosome</a>,<a href='https://www.yeastgenome.org/locus/YPR144C/go' target='_blank'>YPR144C</a>
YPR144C,NOC4,Noc4p-Nop14p complex,<a href='https://www.yeastgenome.org/go/GO:0030692' target='_blank'>Noc4p-Nop14p complex</a>,<a href='https://www.yeastgenome.org/locus/YPR144C/go' target='_blank'>YPR144C</a>
YPR144C,NOC4,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YPR144C/go' target='_blank'>YPR144C</a>
YPR144C,NOC4,"preribosome, small subunit precursor","<a href='https://www.yeastgenome.org/go/GO:0030688' target='_blank'>preribosome, small subunit precursor</a>",<a href='https://www.yeastgenome.org/locus/YPR144C/go' target='_blank'>YPR144C</a>
YPR144C,NOC4,preribosome,<a href='https://www.yeastgenome.org/go/GO:0030684' target='_blank'>preribosome</a>,<a href='https://www.yeastgenome.org/locus/YPR144C/go' target='_blank'>YPR144C</a>
YPR144C,NOC4,small-subunit processome,<a href='https://www.yeastgenome.org/go/GO:0032040' target='_blank'>small-subunit processome</a>,<a href='https://www.yeastgenome.org/locus/YPR144C/go' target='_blank'>YPR144C</a>
YOR361C,PRT1,cytoplasmic stress granule,<a href='https://www.yeastgenome.org/go/GO:0010494' target='_blank'>cytoplasmic stress granule</a>,<a href='https://www.yeastgenome.org/locus/YOR361C/go' target='_blank'>YOR361C</a>
YOR361C,PRT1,eukaryotic 48S preinitiation complex,<a href='https://www.yeastgenome.org/go/GO:0033290' target='_blank'>eukaryotic 48S preinitiation complex</a>,<a href='https://www.yeastgenome.org/locus/YOR361C/go' target='_blank'>YOR361C</a>
YOR361C,PRT1,eukaryotic translation initiation factor 3 complex,<a href='https://www.yeastgenome.org/go/GO:0005852' target='_blank'>eukaryotic translation initiation factor 3 complex</a>,<a href='https://www.yeastgenome.org/locus/YOR361C/go' target='_blank'>YOR361C</a>
YOR361C,PRT1,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YOR361C/go' target='_blank'>YOR361C</a>
YOR361C,PRT1,multi-eIF complex,<a href='https://www.yeastgenome.org/go/GO:0043614' target='_blank'>multi-eIF complex</a>,<a href='https://www.yeastgenome.org/locus/YOR361C/go' target='_blank'>YOR361C</a>
YHR172W,SPC97,"gamma-tubulin small complex, spindle pole body","<a href='https://www.yeastgenome.org/go/GO:0000928' target='_blank'>gamma-tubulin small complex, spindle pole body</a>",<a href='https://www.yeastgenome.org/locus/YHR172W/go' target='_blank'>YHR172W</a>
YHR172W,SPC97,inner plaque of spindle pole body,<a href='https://www.yeastgenome.org/go/GO:0005822' target='_blank'>inner plaque of spindle pole body</a>,<a href='https://www.yeastgenome.org/locus/YHR172W/go' target='_blank'>YHR172W</a>
YHR172W,SPC97,outer plaque of spindle pole body,<a href='https://www.yeastgenome.org/go/GO:0005824' target='_blank'>outer plaque of spindle pole body</a>,<a href='https://www.yeastgenome.org/locus/YHR172W/go' target='_blank'>YHR172W</a>
YHR172W,SPC97,spindle pole body,<a href='https://www.yeastgenome.org/go/GO:0005816' target='_blank'>spindle pole body</a>,<a href='https://www.yeastgenome.org/locus/YHR172W/go' target='_blank'>YHR172W</a>
YDR057W,YOS9,Hrd1p ubiquitin ligase ERAD-L complex,<a href='https://www.yeastgenome.org/go/GO:0000839' target='_blank'>Hrd1p ubiquitin ligase ERAD-L complex</a>,<a href='https://www.yeastgenome.org/locus/YDR057W/go' target='_blank'>YDR057W</a>
YDR057W,YOS9,luminal surveillance complex,<a href='https://www.yeastgenome.org/go/GO:0034099' target='_blank'>luminal surveillance complex</a>,<a href='https://www.yeastgenome.org/locus/YDR057W/go' target='_blank'>YDR057W</a>
YDR057W,YOS9,ubiquitin ligase complex,<a href='https://www.yeastgenome.org/go/GO:0000151' target='_blank'>ubiquitin ligase complex</a>,<a href='https://www.yeastgenome.org/locus/YDR057W/go' target='_blank'>YDR057W</a>
YLR453C,RIF2,nuclear telomere cap complex,<a href='https://www.yeastgenome.org/go/GO:0000783' target='_blank'>nuclear telomere cap complex</a>,<a href='https://www.yeastgenome.org/locus/YLR453C/go' target='_blank'>YLR453C</a>
YLR453C,RIF2,telosome,<a href='https://www.yeastgenome.org/go/GO:0070187' target='_blank'>telosome</a>,<a href='https://www.yeastgenome.org/locus/YLR453C/go' target='_blank'>YLR453C</a>
YGR167W,CLC1,clathrin vesicle coat,<a href='https://www.yeastgenome.org/go/GO:0030125' target='_blank'>clathrin vesicle coat</a>,<a href='https://www.yeastgenome.org/locus/YGR167W/go' target='_blank'>YGR167W</a>
YGR167W,CLC1,vesicle coat,<a href='https://www.yeastgenome.org/go/GO:0030120' target='_blank'>vesicle coat</a>,<a href='https://www.yeastgenome.org/locus/YGR167W/go' target='_blank'>YGR167W</a>
YAL001C,TFC3,nuclear condensin complex,<a href='https://www.yeastgenome.org/go/GO:0000799' target='_blank'>nuclear condensin complex</a>,<a href='https://www.yeastgenome.org/locus/YAL001C/go' target='_blank'>YAL001C</a>
YAL001C,TFC3,transcription factor TFIIIC complex,<a href='https://www.yeastgenome.org/go/GO:0000127' target='_blank'>transcription factor TFIIIC complex</a>,<a href='https://www.yeastgenome.org/locus/YAL001C/go' target='_blank'>YAL001C</a>
YAL001C,TFC3,transcription factor complex,<a href='https://www.yeastgenome.org/go/GO:0005667' target='_blank'>transcription factor complex</a>,<a href='https://www.yeastgenome.org/locus/YAL001C/go' target='_blank'>YAL001C</a>
YGL160W,AIM14,intracellular ribonucleoprotein complex,<a href='https://www.yeastgenome.org/go/GO:0030529' target='_blank'>intracellular ribonucleoprotein complex</a>,<a href='https://www.yeastgenome.org/locus/YGL160W/go' target='_blank'>YGL160W</a>
YGL160W,AIM14,ribosome,<a href='https://www.yeastgenome.org/go/GO:0005840' target='_blank'>ribosome</a>,<a href='https://www.yeastgenome.org/locus/YGL160W/go' target='_blank'>YGL160W</a>
YPL020C,ULP1,nuclear pore,<a href='https://www.yeastgenome.org/go/GO:0005643' target='_blank'>nuclear pore</a>,<a href='https://www.yeastgenome.org/locus/YPL020C/go' target='_blank'>YPL020C</a>
