Systematic Name,Standard Name,disease,Evidence Code,Reference,term_link,gene_link
Q0085,ATP6,breast cancer,IMP,<a href='https://pubmed.ncbi.nlm.nih.gov/28986220' target='_blank'>PMID:28986220</a>,<a href='https://www.yeastgenome.org/disease/DOID:1612' target='_blank'>breast cancer</a>,<a href='https://www.yeastgenome.org/locus/Q0085/disease' target='_blank'>Q0085</a>
Q0085,ATP6,breast cancer,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/28986220' target='_blank'>PMID:28986220</a>,<a href='https://www.yeastgenome.org/disease/DOID:1612' target='_blank'>breast cancer</a>,<a href='https://www.yeastgenome.org/locus/Q0085/disease' target='_blank'>Q0085</a>
Q0085,ATP6,thyroid gland cancer,IMP,<a href='https://pubmed.ncbi.nlm.nih.gov/28986220' target='_blank'>PMID:28986220</a>,<a href='https://www.yeastgenome.org/disease/DOID:1781' target='_blank'>thyroid gland cancer</a>,<a href='https://www.yeastgenome.org/locus/Q0085/disease' target='_blank'>Q0085</a>
Q0085,ATP6,thyroid gland cancer,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/28986220' target='_blank'>PMID:28986220</a>,<a href='https://www.yeastgenome.org/disease/DOID:1781' target='_blank'>thyroid gland cancer</a>,<a href='https://www.yeastgenome.org/locus/Q0085/disease' target='_blank'>Q0085</a>
Q0085,ATP6,Leigh disease,IMP,<a href='https://pubmed.ncbi.nlm.nih.gov/24316278' target='_blank'>PMID:24316278</a>,<a href='https://www.yeastgenome.org/disease/DOID:3652' target='_blank'>Leigh disease</a>,<a href='https://www.yeastgenome.org/locus/Q0085/disease' target='_blank'>Q0085</a>
Q0085,ATP6,Leigh disease,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/24316278' target='_blank'>PMID:24316278</a>,<a href='https://www.yeastgenome.org/disease/DOID:3652' target='_blank'>Leigh disease</a>,<a href='https://www.yeastgenome.org/locus/Q0085/disease' target='_blank'>Q0085</a>
YAL029C,MYO4,microvillus inclusion disease,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/25860149' target='_blank'>PMID:25860149</a>,<a href='https://www.yeastgenome.org/disease/DOID:0060775' target='_blank'>microvillus inclusion disease</a>,<a href='https://www.yeastgenome.org/locus/YAL029C/disease' target='_blank'>YAL029C</a>
YAL029C,MYO4,Griscelli syndrome type 1,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/25860149' target='_blank'>PMID:25860149</a>,<a href='https://www.yeastgenome.org/disease/DOID:0060832' target='_blank'>Griscelli syndrome type 1</a>,<a href='https://www.yeastgenome.org/locus/YAL029C/disease' target='_blank'>YAL029C</a>
YAL029C,MYO4,melanoma,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/25860149' target='_blank'>PMID:25860149</a>,<a href='https://www.yeastgenome.org/disease/DOID:1909' target='_blank'>melanoma</a>,<a href='https://www.yeastgenome.org/locus/YAL029C/disease' target='_blank'>YAL029C</a>
YAL029C,MYO4,cerebrovascular disease,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/25860149' target='_blank'>PMID:25860149</a>,<a href='https://www.yeastgenome.org/disease/DOID:6713' target='_blank'>cerebrovascular disease</a>,<a href='https://www.yeastgenome.org/locus/YAL029C/disease' target='_blank'>YAL029C</a>
YAL039C,CYC3,microphthalmia,IGI,<a href='https://pubmed.ncbi.nlm.nih.gov/11827457' target='_blank'>PMID:11827457</a>,<a href='https://www.yeastgenome.org/disease/DOID:10629' target='_blank'>microphthalmia</a>,<a href='https://www.yeastgenome.org/locus/YAL039C/disease' target='_blank'>YAL039C</a>
YAL039C,CYC3,microphthalmia,IGI,<a href='https://pubmed.ncbi.nlm.nih.gov/17033964' target='_blank'>PMID:17033964</a>,<a href='https://www.yeastgenome.org/disease/DOID:10629' target='_blank'>microphthalmia</a>,<a href='https://www.yeastgenome.org/locus/YAL039C/disease' target='_blank'>YAL039C</a>
YAL039C,CYC3,microphthalmia,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/11827457' target='_blank'>PMID:11827457</a>,<a href='https://www.yeastgenome.org/disease/DOID:10629' target='_blank'>microphthalmia</a>,<a href='https://www.yeastgenome.org/locus/YAL039C/disease' target='_blank'>YAL039C</a>
YAL039C,CYC3,microphthalmia,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/17033964' target='_blank'>PMID:17033964</a>,<a href='https://www.yeastgenome.org/disease/DOID:10629' target='_blank'>microphthalmia</a>,<a href='https://www.yeastgenome.org/locus/YAL039C/disease' target='_blank'>YAL039C</a>
YBL020W,RFT1,congenital disorder of glycosylation type I,IGI,<a href='https://pubmed.ncbi.nlm.nih.gov/18313027' target='_blank'>PMID:18313027</a>,<a href='https://www.yeastgenome.org/disease/DOID:0050570' target='_blank'>congenital disorder of glycosylation type I</a>,<a href='https://www.yeastgenome.org/locus/YBL020W/disease' target='_blank'>YBL020W</a>
YBL020W,RFT1,congenital disorder of glycosylation type I,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/18313027' target='_blank'>PMID:18313027</a>,<a href='https://www.yeastgenome.org/disease/DOID:0050570' target='_blank'>congenital disorder of glycosylation type I</a>,<a href='https://www.yeastgenome.org/locus/YBL020W/disease' target='_blank'>YBL020W</a>
YBL020W,RFT1,cancer,IGI,<a href='https://pubmed.ncbi.nlm.nih.gov/26354769' target='_blank'>PMID:26354769</a>,<a href='https://www.yeastgenome.org/disease/DOID:162' target='_blank'>cancer</a>,<a href='https://www.yeastgenome.org/locus/YBL020W/disease' target='_blank'>YBL020W</a>
YBL020W,RFT1,cancer,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/26354769' target='_blank'>PMID:26354769</a>,<a href='https://www.yeastgenome.org/disease/DOID:162' target='_blank'>cancer</a>,<a href='https://www.yeastgenome.org/locus/YBL020W/disease' target='_blank'>YBL020W</a>
YBL030C,PET9,autosomal dominant progressive external ophthalmoplegia with mitochondrial DNA deletions 2,IGI,<a href='https://pubmed.ncbi.nlm.nih.gov/16438935' target='_blank'>PMID:16438935</a>,<a href='https://www.yeastgenome.org/disease/DOID:0111517' target='_blank'>autosomal dominant progressive external ophthalmoplegia with mitochondrial DNA deletions 2</a>,<a href='https://www.yeastgenome.org/locus/YBL030C/disease' target='_blank'>YBL030C</a>
YBL030C,PET9,autosomal dominant progressive external ophthalmoplegia with mitochondrial DNA deletions 2,IMP,<a href='https://pubmed.ncbi.nlm.nih.gov/25833713' target='_blank'>PMID:25833713</a>,<a href='https://www.yeastgenome.org/disease/DOID:0111517' target='_blank'>autosomal dominant progressive external ophthalmoplegia with mitochondrial DNA deletions 2</a>,<a href='https://www.yeastgenome.org/locus/YBL030C/disease' target='_blank'>YBL030C</a>
YBL030C,PET9,autosomal dominant progressive external ophthalmoplegia with mitochondrial DNA deletions 2,IMP,<a href='https://pubmed.ncbi.nlm.nih.gov/28947214' target='_blank'>PMID:28947214</a>,<a href='https://www.yeastgenome.org/disease/DOID:0111517' target='_blank'>autosomal dominant progressive external ophthalmoplegia with mitochondrial DNA deletions 2</a>,<a href='https://www.yeastgenome.org/locus/YBL030C/disease' target='_blank'>YBL030C</a>
YBL030C,PET9,autosomal dominant progressive external ophthalmoplegia with mitochondrial DNA deletions 2,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/16438935' target='_blank'>PMID:16438935</a>,<a href='https://www.yeastgenome.org/disease/DOID:0111517' target='_blank'>autosomal dominant progressive external ophthalmoplegia with mitochondrial DNA deletions 2</a>,<a href='https://www.yeastgenome.org/locus/YBL030C/disease' target='_blank'>YBL030C</a>
YBL030C,PET9,autosomal dominant progressive external ophthalmoplegia with mitochondrial DNA deletions 2,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/25833713' target='_blank'>PMID:25833713</a>,<a href='https://www.yeastgenome.org/disease/DOID:0111517' target='_blank'>autosomal dominant progressive external ophthalmoplegia with mitochondrial DNA deletions 2</a>,<a href='https://www.yeastgenome.org/locus/YBL030C/disease' target='_blank'>YBL030C</a>
YBL030C,PET9,autosomal dominant progressive external ophthalmoplegia with mitochondrial DNA deletions 2,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/28947214' target='_blank'>PMID:28947214</a>,<a href='https://www.yeastgenome.org/disease/DOID:0111517' target='_blank'>autosomal dominant progressive external ophthalmoplegia with mitochondrial DNA deletions 2</a>,<a href='https://www.yeastgenome.org/locus/YBL030C/disease' target='_blank'>YBL030C</a>
YBL068W,PRS4,fundus dystrophy,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/24961627' target='_blank'>PMID:24961627</a>,<a href='https://www.yeastgenome.org/disease/DOID:8501' target='_blank'>fundus dystrophy</a>,<a href='https://www.yeastgenome.org/locus/YBL068W/disease' target='_blank'>YBL068W</a>
YBL068W,PRS4,diabetes insipidus,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/24961627' target='_blank'>PMID:24961627</a>,<a href='https://www.yeastgenome.org/disease/DOID:9409' target='_blank'>diabetes insipidus</a>,<a href='https://www.yeastgenome.org/locus/YBL068W/disease' target='_blank'>YBL068W</a>
YBL082C,ALG3,congenital disorder of glycosylation Id,IMP,<a href='https://pubmed.ncbi.nlm.nih.gov/23038983' target='_blank'>PMID:23038983</a>,<a href='https://www.yeastgenome.org/disease/DOID:0080556' target='_blank'>congenital disorder of glycosylation Id</a>,<a href='https://www.yeastgenome.org/locus/YBL082C/disease' target='_blank'>YBL082C</a>
YBL082C,ALG3,congenital disorder of glycosylation Id,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/23038983' target='_blank'>PMID:23038983</a>,<a href='https://www.yeastgenome.org/disease/DOID:0080556' target='_blank'>congenital disorder of glycosylation Id</a>,<a href='https://www.yeastgenome.org/locus/YBL082C/disease' target='_blank'>YBL082C</a>
YBL082C,ALG3,congenital disorder of glycosylation,IGI,<a href='https://pubmed.ncbi.nlm.nih.gov/10581255' target='_blank'>PMID:10581255</a>,<a href='https://www.yeastgenome.org/disease/DOID:5212' target='_blank'>congenital disorder of glycosylation</a>,<a href='https://www.yeastgenome.org/locus/YBL082C/disease' target='_blank'>YBL082C</a>
YBL082C,ALG3,congenital disorder of glycosylation,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/10581255' target='_blank'>PMID:10581255</a>,<a href='https://www.yeastgenome.org/disease/DOID:5212' target='_blank'>congenital disorder of glycosylation</a>,<a href='https://www.yeastgenome.org/locus/YBL082C/disease' target='_blank'>YBL082C</a>
YBL088C,TEL1,ataxia telangiectasia,IMP,<a href='https://pubmed.ncbi.nlm.nih.gov/24653001' target='_blank'>PMID:24653001</a>,<a href='https://www.yeastgenome.org/disease/DOID:12704' target='_blank'>ataxia telangiectasia</a>,<a href='https://www.yeastgenome.org/locus/YBL088C/disease' target='_blank'>YBL088C</a>
YBL088C,TEL1,ataxia telangiectasia,IMP,<a href='https://pubmed.ncbi.nlm.nih.gov/29606760' target='_blank'>PMID:29606760</a>,<a href='https://www.yeastgenome.org/disease/DOID:12704' target='_blank'>ataxia telangiectasia</a>,<a href='https://www.yeastgenome.org/locus/YBL088C/disease' target='_blank'>YBL088C</a>
YBL088C,TEL1,ataxia telangiectasia,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/24653001' target='_blank'>PMID:24653001</a>,<a href='https://www.yeastgenome.org/disease/DOID:12704' target='_blank'>ataxia telangiectasia</a>,<a href='https://www.yeastgenome.org/locus/YBL088C/disease' target='_blank'>YBL088C</a>
YBL088C,TEL1,ataxia telangiectasia,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/29606760' target='_blank'>PMID:29606760</a>,<a href='https://www.yeastgenome.org/disease/DOID:12704' target='_blank'>ataxia telangiectasia</a>,<a href='https://www.yeastgenome.org/locus/YBL088C/disease' target='_blank'>YBL088C</a>
YBR002C,RER2,cancer,IGI,<a href='https://pubmed.ncbi.nlm.nih.gov/26354769' target='_blank'>PMID:26354769</a>,<a href='https://www.yeastgenome.org/disease/DOID:162' target='_blank'>cancer</a>,<a href='https://www.yeastgenome.org/locus/YBR002C/disease' target='_blank'>YBR002C</a>
YBR002C,RER2,cancer,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/26354769' target='_blank'>PMID:26354769</a>,<a href='https://www.yeastgenome.org/disease/DOID:162' target='_blank'>cancer</a>,<a href='https://www.yeastgenome.org/locus/YBR002C/disease' target='_blank'>YBR002C</a>
YBR018C,GAL7,galactosemia,IGI,<a href='https://pubmed.ncbi.nlm.nih.gov/10799308' target='_blank'>PMID:10799308</a>,<a href='https://www.yeastgenome.org/disease/DOID:9870' target='_blank'>galactosemia</a>,<a href='https://www.yeastgenome.org/locus/YBR018C/disease' target='_blank'>YBR018C</a>
YBR018C,GAL7,galactosemia,IMP,<a href='https://pubmed.ncbi.nlm.nih.gov/24077966' target='_blank'>PMID:24077966</a>,<a href='https://www.yeastgenome.org/disease/DOID:9870' target='_blank'>galactosemia</a>,<a href='https://www.yeastgenome.org/locus/YBR018C/disease' target='_blank'>YBR018C</a>
YBR018C,GAL7,galactosemia,IMP,<a href='https://pubmed.ncbi.nlm.nih.gov/28213126' target='_blank'>PMID:28213126</a>,<a href='https://www.yeastgenome.org/disease/DOID:9870' target='_blank'>galactosemia</a>,<a href='https://www.yeastgenome.org/locus/YBR018C/disease' target='_blank'>YBR018C</a>
YBR018C,GAL7,galactosemia,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/10799308' target='_blank'>PMID:10799308</a>,<a href='https://www.yeastgenome.org/disease/DOID:9870' target='_blank'>galactosemia</a>,<a href='https://www.yeastgenome.org/locus/YBR018C/disease' target='_blank'>YBR018C</a>
YBR018C,GAL7,galactosemia,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/24077966' target='_blank'>PMID:24077966</a>,<a href='https://www.yeastgenome.org/disease/DOID:9870' target='_blank'>galactosemia</a>,<a href='https://www.yeastgenome.org/locus/YBR018C/disease' target='_blank'>YBR018C</a>
YBR018C,GAL7,galactosemia,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/28213126' target='_blank'>PMID:28213126</a>,<a href='https://www.yeastgenome.org/disease/DOID:9870' target='_blank'>galactosemia</a>,<a href='https://www.yeastgenome.org/locus/YBR018C/disease' target='_blank'>YBR018C</a>
YBR019C,GAL10,galactosemia,IGI,<a href='https://pubmed.ncbi.nlm.nih.gov/18188677' target='_blank'>PMID:18188677</a>,<a href='https://www.yeastgenome.org/disease/DOID:9870' target='_blank'>galactosemia</a>,<a href='https://www.yeastgenome.org/locus/YBR019C/disease' target='_blank'>YBR019C</a>
YBR019C,GAL10,galactosemia,IGI,<a href='https://pubmed.ncbi.nlm.nih.gov/22613355' target='_blank'>PMID:22613355</a>,<a href='https://www.yeastgenome.org/disease/DOID:9870' target='_blank'>galactosemia</a>,<a href='https://www.yeastgenome.org/locus/YBR019C/disease' target='_blank'>YBR019C</a>
YBR019C,GAL10,galactosemia,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/18188677' target='_blank'>PMID:18188677</a>,<a href='https://www.yeastgenome.org/disease/DOID:9870' target='_blank'>galactosemia</a>,<a href='https://www.yeastgenome.org/locus/YBR019C/disease' target='_blank'>YBR019C</a>
YBR019C,GAL10,galactosemia,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/22613355' target='_blank'>PMID:22613355</a>,<a href='https://www.yeastgenome.org/disease/DOID:9870' target='_blank'>galactosemia</a>,<a href='https://www.yeastgenome.org/locus/YBR019C/disease' target='_blank'>YBR019C</a>
YBR029C,CDS1,cancer,IGI,<a href='https://pubmed.ncbi.nlm.nih.gov/26354769' target='_blank'>PMID:26354769</a>,<a href='https://www.yeastgenome.org/disease/DOID:162' target='_blank'>cancer</a>,<a href='https://www.yeastgenome.org/locus/YBR029C/disease' target='_blank'>YBR029C</a>
YBR029C,CDS1,cancer,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/26354769' target='_blank'>PMID:26354769</a>,<a href='https://www.yeastgenome.org/disease/DOID:162' target='_blank'>cancer</a>,<a href='https://www.yeastgenome.org/locus/YBR029C/disease' target='_blank'>YBR029C</a>
YBR061C,TRM7,non-syndromic X-linked intellectual disability,IGI,<a href='https://pubmed.ncbi.nlm.nih.gov/25404562' target='_blank'>PMID:25404562</a>,<a href='https://www.yeastgenome.org/disease/DOID:0050776' target='_blank'>non-syndromic X-linked intellectual disability</a>,<a href='https://www.yeastgenome.org/locus/YBR061C/disease' target='_blank'>YBR061C</a>
YBR061C,TRM7,non-syndromic X-linked intellectual disability,IGI,<a href='https://pubmed.ncbi.nlm.nih.gov/26310293' target='_blank'>PMID:26310293</a>,<a href='https://www.yeastgenome.org/disease/DOID:0050776' target='_blank'>non-syndromic X-linked intellectual disability</a>,<a href='https://www.yeastgenome.org/locus/YBR061C/disease' target='_blank'>YBR061C</a>
YBR061C,TRM7,non-syndromic X-linked intellectual disability,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/25404562' target='_blank'>PMID:25404562</a>,<a href='https://www.yeastgenome.org/disease/DOID:0050776' target='_blank'>non-syndromic X-linked intellectual disability</a>,<a href='https://www.yeastgenome.org/locus/YBR061C/disease' target='_blank'>YBR061C</a>
YBR061C,TRM7,non-syndromic X-linked intellectual disability,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/26310293' target='_blank'>PMID:26310293</a>,<a href='https://www.yeastgenome.org/disease/DOID:0050776' target='_blank'>non-syndromic X-linked intellectual disability</a>,<a href='https://www.yeastgenome.org/locus/YBR061C/disease' target='_blank'>YBR061C</a>
YBR109C,CMD1,cancer,IGI,<a href='https://pubmed.ncbi.nlm.nih.gov/26354769' target='_blank'>PMID:26354769</a>,<a href='https://www.yeastgenome.org/disease/DOID:162' target='_blank'>cancer</a>,<a href='https://www.yeastgenome.org/locus/YBR109C/disease' target='_blank'>YBR109C</a>
YBR109C,CMD1,cancer,IGI,<a href='https://pubmed.ncbi.nlm.nih.gov/26354769' target='_blank'>PMID:26354769</a>,<a href='https://www.yeastgenome.org/disease/DOID:162' target='_blank'>cancer</a>,<a href='https://www.yeastgenome.org/locus/YBR109C/disease' target='_blank'>YBR109C</a>
YBR109C,CMD1,cancer,IGI,<a href='https://pubmed.ncbi.nlm.nih.gov/26354769' target='_blank'>PMID:26354769</a>,<a href='https://www.yeastgenome.org/disease/DOID:162' target='_blank'>cancer</a>,<a href='https://www.yeastgenome.org/locus/YBR109C/disease' target='_blank'>YBR109C</a>
YBR109C,CMD1,cancer,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/26354769' target='_blank'>PMID:26354769</a>,<a href='https://www.yeastgenome.org/disease/DOID:162' target='_blank'>cancer</a>,<a href='https://www.yeastgenome.org/locus/YBR109C/disease' target='_blank'>YBR109C</a>
YBR109C,CMD1,cancer,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/26354769' target='_blank'>PMID:26354769</a>,<a href='https://www.yeastgenome.org/disease/DOID:162' target='_blank'>cancer</a>,<a href='https://www.yeastgenome.org/locus/YBR109C/disease' target='_blank'>YBR109C</a>
YBR109C,CMD1,cancer,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/26354769' target='_blank'>PMID:26354769</a>,<a href='https://www.yeastgenome.org/disease/DOID:162' target='_blank'>cancer</a>,<a href='https://www.yeastgenome.org/locus/YBR109C/disease' target='_blank'>YBR109C</a>
YBR110W,ALG1,congenital disorder of glycosylation type I,IGI,<a href='https://pubmed.ncbi.nlm.nih.gov/14709599' target='_blank'>PMID:14709599</a>,<a href='https://www.yeastgenome.org/disease/DOID:0050570' target='_blank'>congenital disorder of glycosylation type I</a>,<a href='https://www.yeastgenome.org/locus/YBR110W/disease' target='_blank'>YBR110W</a>
YBR110W,ALG1,congenital disorder of glycosylation type I,IGI,<a href='https://pubmed.ncbi.nlm.nih.gov/14973778' target='_blank'>PMID:14973778</a>,<a href='https://www.yeastgenome.org/disease/DOID:0050570' target='_blank'>congenital disorder of glycosylation type I</a>,<a href='https://www.yeastgenome.org/locus/YBR110W/disease' target='_blank'>YBR110W</a>
YBR110W,ALG1,congenital disorder of glycosylation type I,IGI,<a href='https://pubmed.ncbi.nlm.nih.gov/22966035' target='_blank'>PMID:22966035</a>,<a href='https://www.yeastgenome.org/disease/DOID:0050570' target='_blank'>congenital disorder of glycosylation type I</a>,<a href='https://www.yeastgenome.org/locus/YBR110W/disease' target='_blank'>YBR110W</a>
YBR110W,ALG1,congenital disorder of glycosylation type I,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/14709599' target='_blank'>PMID:14709599</a>,<a href='https://www.yeastgenome.org/disease/DOID:0050570' target='_blank'>congenital disorder of glycosylation type I</a>,<a href='https://www.yeastgenome.org/locus/YBR110W/disease' target='_blank'>YBR110W</a>
YBR110W,ALG1,congenital disorder of glycosylation type I,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/14973778' target='_blank'>PMID:14973778</a>,<a href='https://www.yeastgenome.org/disease/DOID:0050570' target='_blank'>congenital disorder of glycosylation type I</a>,<a href='https://www.yeastgenome.org/locus/YBR110W/disease' target='_blank'>YBR110W</a>
YBR110W,ALG1,congenital disorder of glycosylation type I,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/22966035' target='_blank'>PMID:22966035</a>,<a href='https://www.yeastgenome.org/disease/DOID:0050570' target='_blank'>congenital disorder of glycosylation type I</a>,<a href='https://www.yeastgenome.org/locus/YBR110W/disease' target='_blank'>YBR110W</a>
YBR110W,ALG1,congenital disorder of glycosylation Ik,IGI,<a href='https://pubmed.ncbi.nlm.nih.gov/26931382' target='_blank'>PMID:26931382</a>,<a href='https://www.yeastgenome.org/disease/DOID:0080563' target='_blank'>congenital disorder of glycosylation Ik</a>,<a href='https://www.yeastgenome.org/locus/YBR110W/disease' target='_blank'>YBR110W</a>
YBR110W,ALG1,congenital disorder of glycosylation Ik,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/26931382' target='_blank'>PMID:26931382</a>,<a href='https://www.yeastgenome.org/disease/DOID:0080563' target='_blank'>congenital disorder of glycosylation Ik</a>,<a href='https://www.yeastgenome.org/locus/YBR110W/disease' target='_blank'>YBR110W</a>
YBR110W,ALG1,congenital disorder of glycosylation,IGI,<a href='https://pubmed.ncbi.nlm.nih.gov/24157261' target='_blank'>PMID:24157261</a>,<a href='https://www.yeastgenome.org/disease/DOID:5212' target='_blank'>congenital disorder of glycosylation</a>,<a href='https://www.yeastgenome.org/locus/YBR110W/disease' target='_blank'>YBR110W</a>
YBR110W,ALG1,congenital disorder of glycosylation,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/24157261' target='_blank'>PMID:24157261</a>,<a href='https://www.yeastgenome.org/disease/DOID:5212' target='_blank'>congenital disorder of glycosylation</a>,<a href='https://www.yeastgenome.org/locus/YBR110W/disease' target='_blank'>YBR110W</a>
YBR118W,TEF2,dilated cardiomyopathy,IMP,<a href='https://pubmed.ncbi.nlm.nih.gov/28911200' target='_blank'>PMID:28911200</a>,<a href='https://www.yeastgenome.org/disease/DOID:12930' target='_blank'>dilated cardiomyopathy</a>,<a href='https://www.yeastgenome.org/locus/YBR118W/disease' target='_blank'>YBR118W</a>
YBR118W,TEF2,dilated cardiomyopathy,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/28911200' target='_blank'>PMID:28911200</a>,<a href='https://www.yeastgenome.org/disease/DOID:12930' target='_blank'>dilated cardiomyopathy</a>,<a href='https://www.yeastgenome.org/locus/YBR118W/disease' target='_blank'>YBR118W</a>
YBR118W,TEF2,epilepsy,IMP,<a href='https://pubmed.ncbi.nlm.nih.gov/28911200' target='_blank'>PMID:28911200</a>,<a href='https://www.yeastgenome.org/disease/DOID:1826' target='_blank'>epilepsy</a>,<a href='https://www.yeastgenome.org/locus/YBR118W/disease' target='_blank'>YBR118W</a>
YBR118W,TEF2,epilepsy,ISS,<a href='https://pubmed.ncbi.nlm.nih.gov/28911200' target='_blank'>PMID:28911200</a>,<a href='https://www.yeastgenome.org/disease/DOID:1826' target='_blank'>epilepsy</a>,<a href='https://www.yeastgenome.org/locus/YBR118W/disease' target='_blank'>YBR118W</a>
