Systematic Name,Standard Name,pathway,Reference,term_link,gene_link
YGR087C,PDC6,acetoin biosynthesis II,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/16535224' target='_blank'>16535224</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/2404950' target='_blank'>2404950</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/6383467' target='_blank'>6383467</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-335"" target=""_blank"">acetoin biosynthesis II</a>",<a href='https://www.yeastgenome.org/locus/YGR087C' target='_blank'>YGR087C</a>
YGR087C,PDC6,acetoin biosynthesis II,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/16535224' target='_blank'>16535224</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/2404950' target='_blank'>2404950</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/6383467' target='_blank'>6383467</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-335"" target=""_blank"">acetoin biosynthesis II</a>",<a href='https://www.yeastgenome.org/locus/YGR087C' target='_blank'>YGR087C</a>
YLR044C,PDC1,acetoin biosynthesis II,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/16535224' target='_blank'>16535224</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/2404950' target='_blank'>2404950</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/6383467' target='_blank'>6383467</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-335"" target=""_blank"">acetoin biosynthesis II</a>",<a href='https://www.yeastgenome.org/locus/YLR044C' target='_blank'>YLR044C</a>
YLR134W,PDC5,acetoin biosynthesis II,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/16535224' target='_blank'>16535224</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/2404950' target='_blank'>2404950</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/6383467' target='_blank'>6383467</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-335"" target=""_blank"">acetoin biosynthesis II</a>",<a href='https://www.yeastgenome.org/locus/YLR134W' target='_blank'>YLR134W</a>
YGR087C,PDC6,acetoin biosynthesis II,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/16535224' target='_blank'>16535224</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/2404950' target='_blank'>2404950</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/6383467' target='_blank'>6383467</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY3O-335"" target=""_blank"">acetoin biosynthesis II</a>",<a href='https://www.yeastgenome.org/locus/YGR087C' target='_blank'>YGR087C</a>
Q0105,COB,"aerobic respiration, electron transport chain", ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=PWY3O-188&redirect=T"" target=""_blank"">aerobic respiration, electron transport chain</a>",<a href='https://www.yeastgenome.org/locus/Q0105' target='_blank'>Q0105</a>
YBL045C,COR1,"aerobic respiration, electron transport chain", ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=PWY3O-188&redirect=T"" target=""_blank"">aerobic respiration, electron transport chain</a>",<a href='https://www.yeastgenome.org/locus/YBL045C' target='_blank'>YBL045C</a>
YOR065W,CYT1,"aerobic respiration, electron transport chain", ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=PWY3O-188&redirect=T"" target=""_blank"">aerobic respiration, electron transport chain</a>",<a href='https://www.yeastgenome.org/locus/YOR065W' target='_blank'>YOR065W</a>
YHR001W-A,QCR10,"aerobic respiration, electron transport chain", ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=PWY3O-188&redirect=T"" target=""_blank"">aerobic respiration, electron transport chain</a>",<a href='https://www.yeastgenome.org/locus/YHR001W-A' target='_blank'>YHR001W-A</a>
YPR191W,QCR2,"aerobic respiration, electron transport chain", ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=PWY3O-188&redirect=T"" target=""_blank"">aerobic respiration, electron transport chain</a>",<a href='https://www.yeastgenome.org/locus/YPR191W' target='_blank'>YPR191W</a>
YFR033C,QCR6,"aerobic respiration, electron transport chain", ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=PWY3O-188&redirect=T"" target=""_blank"">aerobic respiration, electron transport chain</a>",<a href='https://www.yeastgenome.org/locus/YFR033C' target='_blank'>YFR033C</a>
YDR529C,QCR7,"aerobic respiration, electron transport chain", ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=PWY3O-188&redirect=T"" target=""_blank"">aerobic respiration, electron transport chain</a>",<a href='https://www.yeastgenome.org/locus/YDR529C' target='_blank'>YDR529C</a>
YJL166W,QCR8,"aerobic respiration, electron transport chain", ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=PWY3O-188&redirect=T"" target=""_blank"">aerobic respiration, electron transport chain</a>",<a href='https://www.yeastgenome.org/locus/YJL166W' target='_blank'>YJL166W</a>
YGR183C,QCR9,"aerobic respiration, electron transport chain", ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=PWY3O-188&redirect=T"" target=""_blank"">aerobic respiration, electron transport chain</a>",<a href='https://www.yeastgenome.org/locus/YGR183C' target='_blank'>YGR183C</a>
YEL024W,RIP1,"aerobic respiration, electron transport chain", ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=PWY3O-188&redirect=T"" target=""_blank"">aerobic respiration, electron transport chain</a>",<a href='https://www.yeastgenome.org/locus/YEL024W' target='_blank'>YEL024W</a>
YML120C,NDI1,"aerobic respiration, electron transport chain", ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=PWY3O-188&redirect=T"" target=""_blank"">aerobic respiration, electron transport chain</a>",<a href='https://www.yeastgenome.org/locus/YML120C' target='_blank'>YML120C</a>
Q0045,COX1,"aerobic respiration, electron transport chain", ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=PWY3O-188&redirect=T"" target=""_blank"">aerobic respiration, electron transport chain</a>",<a href='https://www.yeastgenome.org/locus/Q0045' target='_blank'>Q0045</a>
YLR038C,COX12,"aerobic respiration, electron transport chain", ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=PWY3O-188&redirect=T"" target=""_blank"">aerobic respiration, electron transport chain</a>",<a href='https://www.yeastgenome.org/locus/YLR038C' target='_blank'>YLR038C</a>
YGL191W,COX13,"aerobic respiration, electron transport chain", ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=PWY3O-188&redirect=T"" target=""_blank"">aerobic respiration, electron transport chain</a>",<a href='https://www.yeastgenome.org/locus/YGL191W' target='_blank'>YGL191W</a>
Q0250,COX2,"aerobic respiration, electron transport chain", ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=PWY3O-188&redirect=T"" target=""_blank"">aerobic respiration, electron transport chain</a>",<a href='https://www.yeastgenome.org/locus/Q0250' target='_blank'>Q0250</a>
Q0275,COX3,"aerobic respiration, electron transport chain", ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=PWY3O-188&redirect=T"" target=""_blank"">aerobic respiration, electron transport chain</a>",<a href='https://www.yeastgenome.org/locus/Q0275' target='_blank'>Q0275</a>
YGL187C,COX4,"aerobic respiration, electron transport chain", ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=PWY3O-188&redirect=T"" target=""_blank"">aerobic respiration, electron transport chain</a>",<a href='https://www.yeastgenome.org/locus/YGL187C' target='_blank'>YGL187C</a>
YNL052W,COX5A,"aerobic respiration, electron transport chain", ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=PWY3O-188&redirect=T"" target=""_blank"">aerobic respiration, electron transport chain</a>",<a href='https://www.yeastgenome.org/locus/YNL052W' target='_blank'>YNL052W</a>
YHR051W,COX6,"aerobic respiration, electron transport chain", ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=PWY3O-188&redirect=T"" target=""_blank"">aerobic respiration, electron transport chain</a>",<a href='https://www.yeastgenome.org/locus/YHR051W' target='_blank'>YHR051W</a>
YMR256C,COX7,"aerobic respiration, electron transport chain", ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=PWY3O-188&redirect=T"" target=""_blank"">aerobic respiration, electron transport chain</a>",<a href='https://www.yeastgenome.org/locus/YMR256C' target='_blank'>YMR256C</a>
YLR395C,COX8,"aerobic respiration, electron transport chain", ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=PWY3O-188&redirect=T"" target=""_blank"">aerobic respiration, electron transport chain</a>",<a href='https://www.yeastgenome.org/locus/YLR395C' target='_blank'>YLR395C</a>
YDL067C,COX9,"aerobic respiration, electron transport chain", ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=PWY3O-188&redirect=T"" target=""_blank"">aerobic respiration, electron transport chain</a>",<a href='https://www.yeastgenome.org/locus/YDL067C' target='_blank'>YDL067C</a>
YKL148C,SDH1,"aerobic respiration, electron transport chain", ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=PWY3O-188&redirect=T"" target=""_blank"">aerobic respiration, electron transport chain</a>",<a href='https://www.yeastgenome.org/locus/YKL148C' target='_blank'>YKL148C</a>
YLL041C,SDH2,"aerobic respiration, electron transport chain", ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=PWY3O-188&redirect=T"" target=""_blank"">aerobic respiration, electron transport chain</a>",<a href='https://www.yeastgenome.org/locus/YLL041C' target='_blank'>YLL041C</a>
YKL141W,SDH3,"aerobic respiration, electron transport chain", ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=PWY3O-188&redirect=T"" target=""_blank"">aerobic respiration, electron transport chain</a>",<a href='https://www.yeastgenome.org/locus/YKL141W' target='_blank'>YKL141W</a>
YDR178W,SDH4,"aerobic respiration, electron transport chain", ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=NIL&object=PWY3O-188&redirect=T"" target=""_blank"">aerobic respiration, electron transport chain</a>",<a href='https://www.yeastgenome.org/locus/YDR178W' target='_blank'>YDR178W</a>
YLR089C,ALT1,alanine biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/19396236' target='_blank'>19396236</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=PWY-5760-1"" target=""_blank"">alanine biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YLR089C' target='_blank'>YLR089C</a>
YLR089C,ALT1,alanine degradation, ,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=Beta-Alanine-Degradation"" target=""_blank"">alanine degradation</a>",<a href='https://www.yeastgenome.org/locus/YLR089C' target='_blank'>YLR089C</a>
YIR029W,DAL2,allantoin degradation,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/6105114' target='_blank'>6105114</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000042072' target='_blank'>S000042072</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000075551' target='_blank'>S000075551</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=Allantoin-degradation"" target=""_blank"">allantoin degradation</a>",<a href='https://www.yeastgenome.org/locus/YIR029W' target='_blank'>YIR029W</a>
YIR027C,DAL1,allantoin degradation,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/6105114' target='_blank'>6105114</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000042072' target='_blank'>S000042072</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000075551' target='_blank'>S000075551</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=Allantoin-degradation"" target=""_blank"">allantoin degradation</a>",<a href='https://www.yeastgenome.org/locus/YIR027C' target='_blank'>YIR027C</a>
YBR208C,"DUR1,2",allantoin degradation,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/6105114' target='_blank'>6105114</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000042072' target='_blank'>S000042072</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000075551' target='_blank'>S000075551</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=Allantoin-degradation"" target=""_blank"">allantoin degradation</a>",<a href='https://www.yeastgenome.org/locus/YBR208C' target='_blank'>YBR208C</a>
YBR208C,"DUR1,2",allantoin degradation,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/6105114' target='_blank'>6105114</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000042072' target='_blank'>S000042072</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000075551' target='_blank'>S000075551</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=Allantoin-degradation"" target=""_blank"">allantoin degradation</a>",<a href='https://www.yeastgenome.org/locus/YBR208C' target='_blank'>YBR208C</a>
YIR032C,DAL3,allantoin degradation,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/6105114' target='_blank'>6105114</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000042072' target='_blank'>S000042072</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000075551' target='_blank'>S000075551</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=Allantoin-degradation"" target=""_blank"">allantoin degradation</a>",<a href='https://www.yeastgenome.org/locus/YIR032C' target='_blank'>YIR032C</a>
YER069W,"ARG5,6",arginine biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/12603335' target='_blank'>12603335</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000073096' target='_blank'>S000073096</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/11553611' target='_blank'>11553611</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000066207' target='_blank'>S000066207</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/205532' target='_blank'>205532</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000070200' target='_blank'>S000070200</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=ARGININE-SYN"" target=""_blank"">arginine biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YER069W' target='_blank'>YER069W</a>
YOL140W,ARG8,arginine biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/12603335' target='_blank'>12603335</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000073096' target='_blank'>S000073096</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/11553611' target='_blank'>11553611</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000066207' target='_blank'>S000066207</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/205532' target='_blank'>205532</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000070200' target='_blank'>S000070200</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=ARGININE-SYN"" target=""_blank"">arginine biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YOL140W' target='_blank'>YOL140W</a>
YJL071W,ARG2,arginine biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/12603335' target='_blank'>12603335</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000073096' target='_blank'>S000073096</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/11553611' target='_blank'>11553611</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000066207' target='_blank'>S000066207</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/205532' target='_blank'>205532</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000070200' target='_blank'>S000070200</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=ARGININE-SYN"" target=""_blank"">arginine biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YJL071W' target='_blank'>YJL071W</a>
YMR062C,ARG7,arginine biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/12603335' target='_blank'>12603335</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000073096' target='_blank'>S000073096</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/11553611' target='_blank'>11553611</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000066207' target='_blank'>S000066207</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/205532' target='_blank'>205532</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000070200' target='_blank'>S000070200</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=ARGININE-SYN"" target=""_blank"">arginine biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YMR062C' target='_blank'>YMR062C</a>
YHR018C,ARG4,arginine biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/12603335' target='_blank'>12603335</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000073096' target='_blank'>S000073096</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/11553611' target='_blank'>11553611</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000066207' target='_blank'>S000066207</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/205532' target='_blank'>205532</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000070200' target='_blank'>S000070200</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=ARGININE-SYN"" target=""_blank"">arginine biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YHR018C' target='_blank'>YHR018C</a>
YOL058W,ARG1,arginine biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/12603335' target='_blank'>12603335</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000073096' target='_blank'>S000073096</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/11553611' target='_blank'>11553611</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000066207' target='_blank'>S000066207</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/205532' target='_blank'>205532</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000070200' target='_blank'>S000070200</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=ARGININE-SYN"" target=""_blank"">arginine biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YOL058W' target='_blank'>YOL058W</a>
YOR303W,CPA1,arginine biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/12603335' target='_blank'>12603335</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000073096' target='_blank'>S000073096</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/11553611' target='_blank'>11553611</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000066207' target='_blank'>S000066207</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/205532' target='_blank'>205532</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000070200' target='_blank'>S000070200</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=ARGININE-SYN"" target=""_blank"">arginine biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YOR303W' target='_blank'>YOR303W</a>
YJR109C,CPA2,arginine biosynthesis,PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/12603335' target='_blank'>12603335</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000073096' target='_blank'>S000073096</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/11553611' target='_blank'>11553611</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000066207' target='_blank'>S000066207</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/205532' target='_blank'>205532</a>PMID:<a href='https://pubmed.ncbi.nlm.nih.gov/S000070200' target='_blank'>S000070200</a>,"<a href=""https://pathway.yeastgenome.org/YEAST/NEW-IMAGE?type=PATHWAY&object=ARGININE-SYN"" target=""_blank"">arginine biosynthesis</a>",<a href='https://www.yeastgenome.org/locus/YJR109C' target='_blank'>YJR109C</a>
