go_p,count,Systematic Name
COPII-coated vesicle budding,5,"['YDL195W', 'YDL212W', 'YFL038C', 'YLR208W', 'YPR181C']"
CTP biosynthetic process,3,"['YBL039C', 'YJR103W', 'YKL067W']"
CTP salvage,2,"['YDR020C', 'YNR012W']"
CUT catabolic process,4,"['YHR069C', 'YNL251C', 'YOL142W', 'YPL190C']"
CVT pathway,48,"['YBL078C', 'YBR128C', 'YBR131W', 'YBR164C', 'YBR217W', 'YDL029W', 'YDL113C', 'YDL149W', 'YDR080W', 'YDR108W', 'YER157W', 'YFL038C', 'YFR021W', 'YGL005C', 'YGL095C', 'YGL124C', 'YGL180W', 'YGL212W', 'YGL223C', 'YGR120C', 'YHR171W', 'YJL036W', 'YJL178C', 'YKL103C', 'YKR068C', 'YLL042C', 'YLR262C', 'YLR417W', 'YLR431C', 'YML001W', 'YML071C', 'YMR159C', 'YMR218C', 'YNL041C', 'YNL051W', 'YNL098C', 'YNL223W', 'YNL242W', 'YNR007C', 'YOL018C', 'YOR036W', 'YPL100W', 'YPL120W', 'YPL149W', 'YPL154C', 'YPL250C', 'YPR049C', 'YPR105C']"
CVT vesicle assembly,3,"['YDR108W', 'YEL013W', 'YPR185W']"
Cdc42 protein signal transduction,4,"['YDR309C', 'YHR061C', 'YLR229C', 'YNL180C']"
D-amino acid metabolic process,1,['YEL066W']
D-gluconate catabolic process,3,"['YDR248C', 'YGR256W', 'YHR183W']"
D-gluconate metabolic process,3,"['YDR248C', 'YGR256W', 'YHR183W']"
D-leucine catabolic process,1,['YDL219W']
D-ribose catabolic process,1,['YCR036W']
D-ribose metabolic process,2,"['YCR036W', 'YOR095C']"
D-serine biosynthetic process,1,['YKL218C']
D-serine catabolic process,1,['YGL196W']
D-serine metabolic process,1,['YGL196W']
D-tyrosine catabolic process,1,['YDL219W']
D-xylose catabolic process,4,"['YDR368W', 'YHR104W', 'YJR096W', 'YOR120W']"
D-xylose metabolic process,2,"['YGR194C', 'YLR070C']"
DNA amplification,5,"['YDL059C', 'YJR043C', 'YML032C', 'YML095C', 'YPL022W']"
DNA biosynthetic process,8,"['YBL035C', 'YCR014C', 'YDL164C', 'YDR419W', 'YEL055C', 'YOR005C', 'YOR330C', 'YOR346W']"
DNA catabolic process,1,['YJL208C']
"DNA catabolic process, endonucleolytic",2,"['YDR386W', 'YGL175C']"
DNA clamp unloading,1,['YOR144C']
DNA damage checkpoint,19,"['YBL051C', 'YBL088C', 'YBR136W', 'YBR274W', 'YDL101C', 'YDR099W', 'YDR217C', 'YDR283C', 'YDR440W', 'YDR499W', 'YER133W', 'YER173W', 'YER177W', 'YLR288C', 'YML028W', 'YML058W-A', 'YOR368W', 'YPL153C', 'YPL194W']"
DNA damage induced protein phosphorylation,2,"['YBL088C', 'YBR136W']"
"DNA damage response, detection of DNA damage",2,"['YDR289C', 'YPL262W']"
DNA dealkylation involved in DNA repair,2,"['YDL200C', 'YER142C']"
DNA double-strand break attachment to nuclear envelope,5,"['YDR409W', 'YEL019C', 'YHR154W', 'YLR383W', 'YOR156C']"
DNA double-strand break processing,8,"['YAL019W', 'YBR160W', 'YBR275C', 'YDR263C', 'YGL175C', 'YHR164C', 'YMR190C', 'YOR033C']"
DNA double-strand break processing involved in repair via synthesis-dependent strand annealing,2,"['YGL175C', 'YMR224C']"
DNA duplex unwinding,53,"['YAL019W', 'YBL023C', 'YBR073W', 'YBR202W', 'YCR066W', 'YDR190C', 'YDR291W', 'YDR332W', 'YDR334W', 'YDR545W', 'YEL032W', 'YEL077C', 'YER176W', 'YER190W', 'YFL066C', 'YGL058W', 'YGL150C', 'YGL163C', 'YGL201C', 'YGR296W', 'YHR031C', 'YHR164C', 'YIL126W', 'YIL143C', 'YIL177C', 'YIR002C', 'YJL092W', 'YJL225C', 'YJR035W', 'YKL017C', 'YLL066C', 'YLL067C', 'YLR032W', 'YLR274W', 'YLR276C', 'YLR430W', 'YLR466W', 'YLR467W', 'YML061C', 'YML133C', 'YMR106C', 'YMR190C', 'YMR284W', 'YNL218W', 'YNL250W', 'YNL339C', 'YOL095C', 'YOR396W', 'YPL008W', 'YPL235W', 'YPL283C', 'YPR019W', 'YPR204W']"
DNA geometric change,2,"['YBR073W', 'YGL163C']"
DNA integration,1,['R0010W']
DNA ligation,1,['YDL164C']
DNA ligation involved in DNA repair,1,['YOR005C']
DNA metabolic process,8,"['YER095W', 'YER179W', 'YHL022C', 'YIR021W', 'YKL011C', 'YKR056W', 'YNL085W', 'YNL088W']"
DNA packaging,1,['YDR174W']
DNA protection,2,"['YJL092W', 'YML028W']"
DNA recombinase assembly,9,"['YDR004W', 'YDR076W', 'YDR078C', 'YER095W', 'YER179W', 'YHL006C', 'YIL132C', 'YLR376C', 'YML032C']"
DNA recombinase disassembly,1,['YJL092W']
DNA recombination,55,"['R0010W', 'YAR007C', 'YBR073W', 'YBR098W', 'YBR136W', 'YBR228W', 'YCR092C', 'YDL059C', 'YDL105W', 'YDL164C', 'YDR014W-A', 'YDR078C', 'YDR110W', 'YDR138W', 'YDR206W', 'YDR263C', 'YDR288W', 'YDR296W', 'YDR386W', 'YEL019C', 'YER038C', 'YER044C-A', 'YER095W', 'YGL033W', 'YGL127C', 'YGL183C', 'YGR072W', 'YGR159C', 'YHL006C', 'YHR077C', 'YHR167W', 'YJL173C', 'YJL208C', 'YJR021C', 'YLR007W', 'YLR135W', 'YLR219W', 'YLR383W', 'YML023C', 'YML032C', 'YML036W', 'YML061C', 'YML062C', 'YMR080C', 'YMR106C', 'YMR133W', 'YMR190C', 'YMR284W', 'YNL139C', 'YNL312W', 'YOL034W', 'YOL090W', 'YOR005C', 'YOR033C', 'YOR354C']"
DNA repair,190,"['YAL015C', 'YAL019W', 'YAL027W', 'YAR007C', 'YBL003C', 'YBL019W', 'YBL088C', 'YBR073W', 'YBR087W', 'YBR088C', 'YBR089C-A', 'YBR098W', 'YBR114W', 'YBR136W', 'YBR223C', 'YBR228W', 'YBR272C', 'YCL061C', 'YCR014C', 'YCR066W', 'YCR092C', 'YDL013W', 'YDL042C', 'YDL047W', 'YDL059C', 'YDL070W', 'YDL105W', 'YDL154W', 'YDL160C-A', 'YDL164C', 'YDL182W', 'YDL200C', 'YDR004W', 'YDR014W-A', 'YDR030C', 'YDR076W', 'YDR078C', 'YDR079C-A', 'YDR097C', 'YDR182W', 'YDR190C', 'YDR217C', 'YDR225W', 'YDR263C', 'YDR288W', 'YDR291W', 'YDR311W', 'YDR314C', 'YDR317W', 'YDR359C', 'YDR369C', 'YDR386W', 'YDR419W', 'YDR440W', 'YDR460W', 'YDR499W', 'YEL018W', 'YEL019C', 'YEL037C', 'YER038C', 'YER041W', 'YER095W', 'YER116C', 'YER142C', 'YER162C', 'YER171W', 'YER173W', 'YER179W', 'YFL007W', 'YFL024C', 'YFL039C', 'YFR027W', 'YGL058W', 'YGL070C', 'YGL090W', 'YGL127C', 'YGL150C', 'YGL163C', 'YGL175C', 'YGL207W', 'YGR002C', 'YGR053C', 'YGR258C', 'YHL006C', 'YHR031C', 'YHR079C-A', 'YHR090C', 'YHR099W', 'YHR120W', 'YHR154W', 'YHR164C', 'YIL128W', 'YIL132C', 'YIL139C', 'YIL143C', 'YIL153W', 'YIR002C', 'YJL047C', 'YJL081C', 'YJL092W', 'YJL127C', 'YJL173C', 'YJR035W', 'YJR052W', 'YJR068W', 'YJR082C', 'YJR144W', 'YKL025C', 'YKL054C', 'YKL067W', 'YKL112W', 'YKL113C', 'YKL114C', 'YKR095W', 'YLL036C', 'YLR005W', 'YLR007W', 'YLR032W', 'YLR035C', 'YLR135W', 'YLR151C', 'YLR265C', 'YLR288C', 'YLR320W', 'YLR376C', 'YLR383W', 'YLR394W', 'YLR399C', 'YML011C', 'YML021C', 'YML023C', 'YML032C', 'YML058W-A', 'YML060W', 'YML061C', 'YML069W', 'YML095C', 'YMR048W', 'YMR076C', 'YMR106C', 'YMR137C', 'YMR156C', 'YMR167W', 'YMR173W', 'YMR190C', 'YMR201C', 'YMR224C', 'YMR284W', 'YNL082W', 'YNL107W', 'YNL136W', 'YNL215W', 'YNL218W', 'YNL250W', 'YNL262W', 'YNL273W', 'YNL290W', 'YNL312W', 'YOL034W', 'YOL043C', 'YOL086W-A', 'YOL090W', 'YOL094C', 'YOL095C', 'YOL133W', 'YOR005C', 'YOR014W', 'YOR033C', 'YOR217W', 'YOR244W', 'YOR258W', 'YOR346W', 'YOR368W', 'YOR386W', 'YPL001W', 'YPL022W', 'YPL121C', 'YPL122C', 'YPL153C', 'YPL164C', 'YPL167C', 'YPL194W', 'YPL204W', 'YPL235W', 'YPL262W', 'YPR023C', 'YPR052C', 'YPR056W', 'YPR135W', 'YPR164W']"
DNA replication,78,"['YAL021C', 'YAR007C', 'YBL023C', 'YBL035C', 'YBR060C', 'YBR087W', 'YBR088C', 'YBR136W', 'YBR202W', 'YBR278W', 'YCL016C', 'YCL061C', 'YCR028C-A', 'YDL102W', 'YDL164C', 'YDR013W', 'YDR052C', 'YDR054C', 'YDR110W', 'YDR121W', 'YDR419W', 'YDR489W', 'YEL032W', 'YER070W', 'YFR027W', 'YGL113W', 'YGL168W', 'YGL201C', 'YGL207W', 'YGR180C', 'YHR031C', 'YHR118C', 'YHR164C', 'YHR191C', 'YIL066C', 'YIL150C', 'YIR008C', 'YJL026W', 'YJL072C', 'YJL090C', 'YJL173C', 'YJL194W', 'YJR006W', 'YJR043C', 'YJR068W', 'YKL045W', 'YKL108W', 'YKL112W', 'YKL113C', 'YLL004W', 'YLR002C', 'YLR103C', 'YLR135W', 'YLR274W', 'YML061C', 'YML065W', 'YML069W', 'YMR078C', 'YMR190C', 'YNL102W', 'YNL218W', 'YNL261W', 'YNL262W', 'YNL273W', 'YNL290W', 'YNL312W', 'YOL006C', 'YOL094C', 'YOL146W', 'YOR005C', 'YOR060C', 'YOR217W', 'YOR330C', 'YPL167C', 'YPR019W', 'YPR135W', 'YPR162C', 'YPR175W']"
DNA replication checkpoint,8,"['YAL021C', 'YCL061C', 'YER133W', 'YJL090C', 'YJR068W', 'YMR048W', 'YNL273W', 'YPL194W']"
DNA replication initiation,33,"['YBL023C', 'YBL035C', 'YBR060C', 'YBR202W', 'YBR275C', 'YDL017W', 'YDR052C', 'YDR099W', 'YDR226W', 'YEL032W', 'YGL113W', 'YGL201C', 'YHR118C', 'YIL150C', 'YIR008C', 'YJL090C', 'YJL194W', 'YKL045W', 'YKL108W', 'YLL004W', 'YLR002C', 'YLR103C', 'YLR117C', 'YLR274W', 'YLR381W', 'YML065W', 'YMR078C', 'YNL102W', 'YNL261W', 'YPL153C', 'YPR019W', 'YPR135W', 'YPR162C']"
DNA replication preinitiation complex assembly,1,['YKL108W']
DNA replication proofreading,2,"['YDL102W', 'YNL262W']"
DNA replication termination,3,"['YBR170C', 'YDL126C', 'YGR048W']"
"DNA replication, Okazaki fragment processing",3,"['YHR164C', 'YIR002C', 'YNL218W']"
"DNA replication, removal of RNA primer",8,"['YDL102W', 'YDR279W', 'YJR006W', 'YJR043C', 'YKL113C', 'YLR154C', 'YMR234W', 'YNL072W']"
"DNA replication, synthesis of RNA primer",3,"['YFL036W', 'YIR008C', 'YKL045W']"
DNA replication-dependent nucleosome assembly,5,"['YBR195C', 'YJL115W', 'YML102W', 'YNL206C', 'YPR018W']"
DNA replication-independent nucleosome assembly,6,"['YBL008W', 'YBR215W', 'YJL115W', 'YJR140C', 'YNL206C', 'YOR038C']"
DNA replication-independent nucleosome organization,3,"['YGL207W', 'YML069W', 'YPR052C']"
DNA strand elongation involved in DNA replication,9,"['YBL023C', 'YBR202W', 'YEL032W', 'YGL201C', 'YIL150C', 'YJR006W', 'YNL088W', 'YOL006C', 'YPR019W']"
DNA strand elongation involved in mitotic DNA replication,1,['YDR013W']
DNA synthesis involved in DNA repair,1,['YNL102W']
DNA topological change,12,"['YAR007C', 'YBR098W', 'YDR174W', 'YDR386W', 'YER162C', 'YJL173C', 'YLR234W', 'YMR190C', 'YNL088W', 'YNL312W', 'YOL006C', 'YPL024W']"
DNA transport,2,"['YIL114C', 'YNL055C']"
DNA unwinding involved in DNA replication,11,"['YAR007C', 'YBL023C', 'YBR202W', 'YGL113W', 'YGL201C', 'YGL251C', 'YJL173C', 'YML061C', 'YMR190C', 'YNL312W', 'YPR019W']"
DNA-dependent DNA replication,25,"['YBR087W', 'YBR228W', 'YBR278W', 'YDL102W', 'YDR013W', 'YDR121W', 'YDR489W', 'YGL207W', 'YGR053C', 'YHR164C', 'YJL072C', 'YJR068W', 'YKL112W', 'YLR135W', 'YML069W', 'YNL218W', 'YNL262W', 'YNL290W', 'YOL094C', 'YOL146W', 'YOR144C', 'YOR290C', 'YPL016W', 'YPR135W', 'YPR175W']"
DNA-dependent DNA replication maintenance of fidelity,3,"['YDL102W', 'YLR430W', 'YPR175W']"
"DNA-templated transcription, elongation",3,"['YBR245C', 'YJL168C', 'YOR244W']"
"DNA-templated transcription, initiation",13,"['YDR145W', 'YDR167W', 'YDR404C', 'YER148W', 'YGL112C', 'YGR246C', 'YJL011C', 'YJL140W', 'YKL144C', 'YMR005W', 'YMR236W', 'YOR340C', 'YPR086W']"
"DNA-templated transcription, termination",13,"['YBR121C', 'YBR143C', 'YBR279W', 'YDR228C', 'YGL058W', 'YGL244W', 'YGL246C', 'YJL168C', 'YLR226W', 'YLR430W', 'YOL145C', 'YOR048C', 'YOR123C']"
DNA-templated transcriptional open complex formation,2,"['YGR246C', 'YNL039W']"
DNA-templated transcriptional preinitiation complex assembly,2,"['YGR246C', 'YPR086W']"
ER to Golgi ceramide transport,7,"['YDL019C', 'YHR073W', 'YLR242C', 'YML072C', 'YNL087W', 'YOR086C', 'YPL145C']"
ER to Golgi vesicle-mediated transport,92,"['YAL007C', 'YAL042W', 'YAR002C-A', 'YBL040C', 'YBL078C', 'YBR002C', 'YBR172C', 'YBR210W', 'YBR254C', 'YDL018C', 'YDL058W', 'YDL072C', 'YDL099W', 'YDL145C', 'YDL192W', 'YDL195W', 'YDL212W', 'YDL226C', 'YDR108W', 'YDR170C', 'YDR189W', 'YDR238C', 'YDR246W', 'YDR472W', 'YDR517W', 'YDR524C', 'YEL022W', 'YEL043W', 'YEL048C', 'YER074W-A', 'YER122C', 'YER157W', 'YFL025C', 'YFL027C', 'YFL038C', 'YFL048C', 'YFR051C', 'YGL002W', 'YGL051W', 'YGL054C', 'YGL137W', 'YGL181W', 'YGL200C', 'YGR120C', 'YGR172C', 'YGR209C', 'YGR284C', 'YHL031C', 'YHR035W', 'YHR098C', 'YHR110W', 'YHR142W', 'YHR181W', 'YIL004C', 'YIL039W', 'YIL044C', 'YIL076W', 'YIL109C', 'YJL031C', 'YJL117W', 'YJL192C', 'YJR031C', 'YKL065C', 'YKL196C', 'YKR044W', 'YKR068C', 'YLR026C', 'YLR043C', 'YLR078C', 'YLR080W', 'YLR268W', 'YML012W', 'YML067C', 'YML077W', 'YMR040W', 'YMR192W', 'YMR292W', 'YNL044W', 'YNL049C', 'YNL258C', 'YNL263C', 'YNL287W', 'YOR016C', 'YOR115C', 'YOR216C', 'YOR307C', 'YOR370C', 'YPL053C', 'YPL218W', 'YPL249C', 'YPR176C', 'YPR181C']"
ER-associated misfolded protein catabolic process,7,"['YAL023C', 'YBR170C', 'YDL095W', 'YDL126C', 'YGR048W', 'YJR117W', 'YOR336W']"
ER-associated ubiquitin-dependent protein catabolic process,45,"['YAL058W', 'YBL058W', 'YBR170C', 'YBR201W', 'YCL047C', 'YCL052C', 'YDL126C', 'YDL190C', 'YDR049W', 'YDR057W', 'YDR177W', 'YDR411C', 'YEL037C', 'YER100W', 'YFL025C', 'YFL044C', 'YGL058W', 'YGL141W', 'YGR048W', 'YGR184C', 'YIL005W', 'YIL030C', 'YJL034W', 'YJL073W', 'YJR131W', 'YLR057W', 'YLR104W', 'YLR207W', 'YLR208W', 'YLR378C', 'YML013W', 'YML029W', 'YMR022W', 'YMR067C', 'YMR161W', 'YMR184W', 'YMR214W', 'YMR264W', 'YMR276W', 'YNL064C', 'YOL013C', 'YOL082W', 'YOR007C', 'YOR259C', 'YPR131C']"
ER-dependent peroxisome organization,9,"['YDL065C', 'YDL204W', 'YDR233C', 'YDR329C', 'YDR479C', 'YLR324W', 'YLR440C', 'YNL258C', 'YPR028W']"
ERAD pathway,1,['YNR021W']
ESCRT III complex assembly,2,"['YKR035W-A', 'YLR025W']"
FAD biosynthetic process,1,['YDL045C']
FAD metabolic process,1,['YJR051W']
FAD transmembrane transport,4,"['YAL053W', 'YGL139W', 'YIL134W', 'YPL221W']"
FAD transport,4,"['YAL053W', 'YGL139W', 'YIL134W', 'YPL221W']"
FMN biosynthetic process,1,['YDR236C']
G-protein coupled receptor signaling pathway,8,"['YDL035C', 'YER020W', 'YFL026W', 'YHR005C', 'YJR086W', 'YKL178C', 'YMR116C', 'YOR212W']"
G-quadruplex DNA formation,2,"['YLR233C', 'YNL216W']"
G-quadruplex DNA unwinding,3,"['YHR031C', 'YHR164C', 'YML061C']"
G1/S transition of mitotic cell cycle,26,"['YBR160W', 'YCR008W', 'YDL047W', 'YDL132W', 'YDL134C', 'YDL188C', 'YDL225W', 'YDR002W', 'YDR247W', 'YDR328C', 'YER167W', 'YFL009W', 'YFR040W', 'YGL229C', 'YGR109C', 'YIL046W', 'YIL153W', 'YJL098W', 'YJL194W', 'YJR059W', 'YKL161C', 'YKR028W', 'YLR079W', 'YOL133W', 'YOR066W', 'YPR120C']"
G2/M transition of mitotic cell cycle,20,"['YBL051C', 'YBR133C', 'YDL132W', 'YDL139C', 'YDL155W', 'YDR054C', 'YDR328C', 'YFL009W', 'YFL029C', 'YGR108W', 'YGR109C', 'YGR211W', 'YJL187C', 'YKL101W', 'YLL003W', 'YLR210W', 'YMR036C', 'YPL020C', 'YPR119W', 'YPR120C']"
GDP biosynthetic process,1,['YDR454C']
GDP-mannose biosynthetic process,3,"['YDL055C', 'YER003C', 'YFL045C']"
GDP-mannose transmembrane transport,2,"['YER039C', 'YGL225W']"
GMP biosynthetic process,5,"['YHR216W', 'YLR432W', 'YML056C', 'YMR217W', 'YNL333W']"
GMP metabolic process,1,['YDR454C']
GMP salvage,2,"['YDR399W', 'YJR133W']"
GPI anchor biosynthetic process,31,"['YBR004C', 'YCL052C', 'YCR017C', 'YCR044C', 'YDR182W', 'YDR302W', 'YDR331W', 'YDR434W', 'YDR437W', 'YGL084C', 'YGL142C', 'YGR216C', 'YHR188C', 'YIL039W', 'YJL062W', 'YJL091C', 'YJR013W', 'YKL165C', 'YLL031C', 'YLR088W', 'YLR242C', 'YLR459W', 'YMR281W', 'YNL038W', 'YNL158W', 'YOR149C', 'YPL076W', 'YPL096C-A', 'YPL175W', 'YPL189W', 'YPR183W']"
GPI anchor metabolic process,2,"['YCR017C', 'YFL025C']"
GPI anchor release,1,['YJL132W']
GTP biosynthetic process,4,"['YHR216W', 'YKL067W', 'YLR432W', 'YML056C']"
GTP metabolic process,1,['YER170W']
Golgi calcium ion homeostasis,1,['YBR187W']
Golgi calcium ion transport,1,['YBR187W']
Golgi inheritance,4,"['YFR051C', 'YNL304W', 'YOR326W', 'YPR055W']"
Golgi localization,2,"['YFR051C', 'YNL304W']"
Golgi organization,21,"['YAL007C', 'YAR002C-A', 'YBL058W', 'YBR264C', 'YDL018C', 'YDR372C', 'YDR517W', 'YER157W', 'YFL048C', 'YGL002W', 'YGL200C', 'YGL223C', 'YGR127W', 'YHR110W', 'YJL100W', 'YKR044W', 'YLR080W', 'YML012W', 'YOR016C', 'YOR216C', 'YPL085W']"
Golgi to endosome transport,25,"['YBL017C', 'YCR100C', 'YDR141C', 'YDR153C', 'YDR323C', 'YDR358W', 'YGL095C', 'YGL206C', 'YHR108W', 'YIL173W', 'YJL004C', 'YJL222W', 'YJR125C', 'YKR014C', 'YLL040C', 'YLR148W', 'YLR262C', 'YML097C', 'YMR231W', 'YNL093W', 'YNR065C', 'YNR066C', 'YOR089C', 'YPL045W', 'YPL070W']"
Golgi to plasma membrane protein transport,12,"['YBR080C', 'YBR164C', 'YDL226C', 'YDR372C', 'YJL004C', 'YJL145W', 'YLL050C', 'YLR309C', 'YLR380W', 'YMR079W', 'YNL264C', 'YPL051W']"
Golgi to plasma membrane transport,22,"['YAL030W', 'YBL106C', 'YBR102C', 'YDL192W', 'YDR166C', 'YER008C', 'YFL005W', 'YGL233W', 'YIL068C', 'YJL085W', 'YJL099W', 'YJL204C', 'YKR027W', 'YLR166C', 'YLR330W', 'YLR380W', 'YMR183C', 'YMR237W', 'YOR299W', 'YOR327C', 'YPR032W', 'YPR055W']"
Golgi to vacuole transport,30,"['YAL014C', 'YBL017C', 'YBR288C', 'YCR100C', 'YDR027C', 'YDR323C', 'YDR358W', 'YDR468C', 'YDR484W', 'YGL095C', 'YGR261C', 'YHL019C', 'YHR108W', 'YIL173W', 'YJL024C', 'YJL029C', 'YJL222W', 'YKL135C', 'YLR170C', 'YLR396C', 'YMR079W', 'YMR197C', 'YNR065C', 'YNR066C', 'YOL018C', 'YOR036W', 'YOR106W', 'YPL195W', 'YPL259C', 'YPR029C']"
Golgi vesicle budding,3,"['YDR372C', 'YFL038C', 'YMR079W']"
Golgi vesicle docking,5,"['YBR080C', 'YDL058W', 'YEL043W', 'YFL038C', 'YKL179C']"
Golgi vesicle fusion to target membrane,1,['YGL095C']
Golgi vesicle transport,6,"['YDR472W', 'YHL031C', 'YKL179C', 'YKR068C', 'YMR218C', 'YOR115C']"
Group I intron splicing,10,"['Q0115', 'Q0120', 'YDR194C', 'YGR222W', 'YHL038C', 'YIR021W', 'YLR382C', 'YOR350C', 'YPL029W', 'YPR134W']"
Group II intron splicing,1,['YDR194C']
IMP biosynthetic process,1,['YML035C']
IMP metabolic process,1,['YNL220W']
IMP salvage,3,"['YDR399W', 'YJR133W', 'YML035C']"
IRE1-mediated unfolded protein response,5,"['YHR030C', 'YHR079C', 'YJL087C', 'YLR332W', 'YOL148C']"
ITP metabolic process,1,['YER170W']
L-alanine catabolic process,2,"['YDR111C', 'YLR089C']"
L-alpha-amino acid transmembrane transport,5,"['YGR055W', 'YHL036W', 'YJR001W', 'YKL146W', 'YNL101W']"
L-amino acid transport,5,"['YGR055W', 'YHL036W', 'YJR001W', 'YKL146W', 'YNL101W']"
